"","Season","Order","Mean","SD","SE"
"1","Summer","Bacillales",6.66666666666667,11.5470053837925,6.66666666666667
"2","Summer","Bacteroidales",4.44444444444444,7.69800358919501,4.44444444444445
"3","Summer","Clostridiales",50.3703703703704,33.2839139832014,19.2164766978857
"4","Summer","Eggerthellales",0,0,0
"5","Summer","Streptosporangiales",0,0,0
"6","Summer","Unclassified",38.5185185185185,30.1709805250612,17.419223727859
"7","Summer","Viruses",0,0,0
"8","Winter","Bacillales",0,0,0
"9","Winter","Bacteroidales",0,0,0
"10","Winter","Clostridiales",50,50,28.8675134594813
"11","Winter","Eggerthellales",0,0,0
"12","Winter","Streptosporangiales",0,0,0
"13","Winter","Unclassified",50,50,28.8675134594813
"14","Winter","Viruses",0,0,0
"15","Spring","Bacillales",0,0,0
"16","Spring","Bacteroidales",3.7037037037037,6.41500299099584,3.7037037037037
"17","Spring","Clostridiales",29.6825396825397,8.46941052187562,4.88981644468234
"18","Spring","Eggerthellales",3.33333333333333,5.77350269189626,3.33333333333333
"19","Spring","Streptosporangiales",3.7037037037037,6.41500299099584,3.7037037037037
"20","Spring","Unclassified",59.5767195767196,13.4127766817791,7.74387022780549
"21","Spring","Viruses",0,0,0
