ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_1	GH35.hmm	6.8e-118	7.926567	NODE_1_length_532515_cov_7.926567_72
_2	GH2.hmm	3.1e-200	14.848906	NODE_2_length_423686_cov_14.848906_40
_3	GH2.hmm	7.9e-184	14.848906	NODE_2_length_423686_cov_14.848906_244
_5	GH130.hmm	4.6e-90	14.848906	NODE_2_length_423686_cov_14.848906_254
_6	GH84.hmm	1.2e-105	14.848906	NODE_2_length_423686_cov_14.848906_319
_7	GH29.hmm	3.2e-76	7.911887	NODE_4_length_378721_cov_7.911887_86
_8	GH2.hmm	1.4e-210	7.911887	NODE_4_length_378721_cov_7.911887_187
_9	GH2.hmm	1.4e-221	4.742443	NODE_7_length_324757_cov_4.742443_216
_10	GH84.hmm	1.4e-105	24.092148	NODE_9_length_313222_cov_24.092148_242
_11	GH2.hmm	7.5e-198	24.092148	NODE_9_length_313222_cov_24.092148_250
_12	GH2.hmm	2.2e-173	25.424219	NODE_10_length_284175_cov_25.424219_71
_13	GH130.hmm	4.7e-89	8.550309	NODE_15_length_261628_cov_8.550309_20
_14	GH2.hmm	9.5e-214	8.550309	NODE_15_length_261628_cov_8.550309_54
_15	GH31.hmm	1.1e-142	8.550309	NODE_15_length_261628_cov_8.550309_72
_16	GH36.hmm	6.9e-210	8.550309	NODE_15_length_261628_cov_8.550309_144
_17	GH67.hmm	4.8e-247	8.550309	NODE_15_length_261628_cov_8.550309_185
_18	GH13_39.hmm	4.9e-131	30.844086	NODE_17_length_253619_cov_30.844086_38
_19	GH67.hmm	3.5e-246	5.843560	NODE_18_length_242667_cov_5.843560_15
_20	GH2.hmm	4.8e-223	8.647192	NODE_19_length_235407_cov_8.647192_118
_21	GH29.hmm	2.8e-82	4.338769	NODE_21_length_227870_cov_4.338769_176
_22	GH95.hmm	3.9e-227	4.203435	NODE_23_length_219895_cov_4.203435_186
_23	GH38.hmm	1.1e-88	3.636929	NODE_25_length_215849_cov_3.636929_159
_25	GH130.hmm	9.9e-92	3.636929	NODE_25_length_215849_cov_3.636929_163
_26	GH110.hmm	4.8e-197	44.124131	NODE_28_length_212185_cov_44.124131_126
_27	GH13_39.hmm	1.7e-125	9.480958	NODE_29_length_211336_cov_9.480958_80
_28	GH29.hmm	2.3e-101	40.478529	NODE_30_length_209397_cov_40.478529_146
_29	GH35.hmm	7.9e-119	8.501617	NODE_32_length_206362_cov_8.501617_141
_30	GH27.hmm	4.3e-81	4.728186	NODE_37_length_201177_cov_4.728186_152
_31	GH42.hmm	2.9e-152	4.137573	NODE_40_length_198114_cov_4.137573_140
_32	GH2.hmm	3e-225	5.894788	NODE_41_length_197315_cov_5.894788_21
_33	GH130.hmm	3.9e-87	5.894788	NODE_41_length_197315_cov_5.894788_27
_34	GH36.hmm	3.7e-207	5.894788	NODE_41_length_197315_cov_5.894788_39
_35	GH38.hmm	1.1e-85	4.148725	NODE_45_length_191200_cov_4.148725_67
_36	GH2.hmm	9.3e-220	4.660572	NODE_46_length_190972_cov_4.660572_65
_37	GH110.hmm	2.1e-237	4.994005	NODE_51_length_184252_cov_4.994005_62
_38	GH35.hmm	1.1e-120	7.798410	NODE_52_length_182361_cov_7.798410_117
_39	GH130.hmm	4.5e-91	4.443728	NODE_57_length_176656_cov_4.443728_41
_40	GH110.hmm	5.1e-238	4.443728	NODE_57_length_176656_cov_4.443728_109
_42	GH130.hmm	5.4e-89	24.427197	NODE_58_length_172409_cov_24.427197_101
_43	GH2.hmm	7.9e-214	4.150713	NODE_63_length_168833_cov_4.150713_69
_44	GH29.hmm	2e-83	4.150713	NODE_63_length_168833_cov_4.150713_73
_45	GH13_31.hmm	1.5e-144	4.801436	NODE_65_length_168222_cov_4.801436_83
_46	GH2.hmm	4.9e-196	26.375364	NODE_69_length_164746_cov_26.375364_133
_47	GH31.hmm	1.4e-145	6.382764	NODE_70_length_161795_cov_6.382764_99
_48	GH36.hmm	5.3e-219	4.642534	NODE_72_length_160236_cov_4.642534_97
_49	GH95.hmm	2.1e-246	25.264038	NODE_76_length_158307_cov_25.264038_67
_50	GH35.hmm	2.7e-120	29.951606	NODE_78_length_155755_cov_29.951606_96
_51	GH2.hmm	1.9e-196	6.657306	NODE_82_length_149266_cov_6.657306_105
_52	GH20.hmm	7e-103	10.905822	NODE_84_length_147220_cov_10.905822_48
_53	GH36.hmm	8.6e-214	8.560548	NODE_88_length_145856_cov_8.560548_48
_54	GH95.hmm	3e-243	3.943799	NODE_92_length_141836_cov_3.943799_125
_55	GH84.hmm	2e-120	4.796269	NODE_94_length_141198_cov_4.796269_64
_57	GH130.hmm	1.4e-95	6.921341	NODE_96_length_137091_cov_6.921341_21
_58	GH27.hmm	1.3e-59	4.036408	NODE_113_length_128090_cov_4.036408_87
_59	GH110.hmm	2.9e-195	34.165384	NODE_114_length_126564_cov_34.165384_53
_60	GH95.hmm	5.4e-286	12.918077	NODE_117_length_123150_cov_12.918077_96
_61	GH130.hmm	9.9e-92	8.982734	NODE_118_length_122880_cov_8.982734_53
_62	GH35.hmm	5.9e-122	4.458388	NODE_124_length_120384_cov_4.458388_32
_63	GH4.hmm	1.7e-65	4.458388	NODE_124_length_120384_cov_4.458388_47
_64	GH36.hmm	1.5e-192	3.569684	NODE_125_length_119635_cov_3.569684_20
_65	GH110.hmm	2.3e-209	23.175379	NODE_133_length_116392_cov_23.175379_7
_66	GH110.hmm	1.8e-231	13.206955	NODE_136_length_115864_cov_13.206955_19
_67	GH110.hmm	9.6e-204	13.424601	NODE_146_length_112311_cov_13.424601_23
_68	GH27.hmm	1.3e-80	4.253604	NODE_148_length_111296_cov_4.253604_52
_69	GH29.hmm	3.8e-82	10.331229	NODE_152_length_110031_cov_10.331229_31
_70	GH2.hmm	1.5e-212	4.107473	NODE_160_length_107117_cov_4.107473_65
_71	GH35.hmm	3e-121	8.513225	NODE_162_length_106783_cov_8.513225_99
_72	GH2.hmm	3.4e-172	4.386159	NODE_165_length_105681_cov_4.386159_69
_73	GH84.hmm	1.3e-111	10.991518	NODE_173_length_104320_cov_10.991518_40
_74	GH2.hmm	1.4e-225	7.029169	NODE_174_length_103286_cov_7.029169_68
_75	GH36.hmm	7.4e-258	4.668259	NODE_175_length_102904_cov_4.668259_7
_76	GH130.hmm	7.9e-86	4.668259	NODE_175_length_102904_cov_4.668259_13
_78	GH130.hmm	5.5e-90	4.668259	NODE_175_length_102904_cov_4.668259_15
_79	GH29.hmm	1.3e-80	14.269509	NODE_177_length_102485_cov_14.269509_7
_80	GH2.hmm	1.1e-204	14.269509	NODE_177_length_102485_cov_14.269509_37
_81	GH2.hmm	3.3e-220	3.591827	NODE_181_length_101231_cov_3.591827_18
_82	GH36.hmm	8.5e-226	25.143219	NODE_188_length_96549_cov_25.143219_10
_83	GH110.hmm	2.3e-220	3.072754	NODE_191_length_96007_cov_3.072754_54
_84	GH29.hmm	4.7e-84	4.080299	NODE_193_length_95327_cov_4.080299_43
_85	GH4.hmm	2.3e-59	3.950613	NODE_214_length_86170_cov_3.950613_52
_86	GH2.hmm	2.5e-225	10.761162	NODE_215_length_86149_cov_10.761162_36
_87	GH84.hmm	9.9e-103	30.883281	NODE_226_length_82644_cov_30.883281_17
_88	GH35.hmm	5.6e-120	5.117364	NODE_227_length_82301_cov_5.117364_34
