ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_2	GH130.hmm	6.1e-92	10.991169	NODE_1_length_675108_cov_10.991169_57
_3	GH13_31.hmm	2.1e-144	10.991169	NODE_1_length_675108_cov_10.991169_264
_4	GH2.hmm	7e-222	10.991169	NODE_1_length_675108_cov_10.991169_321
_5	GH84.hmm	5.7e-114	10.991169	NODE_1_length_675108_cov_10.991169_463
_6	GH36.hmm	8.5e-226	50.417000	NODE_3_length_420543_cov_50.417000_184
_7	GH2.hmm	1.2e-218	5.515401	NODE_5_length_404854_cov_5.515401_124
_8	GH130.hmm	1.8e-83	5.515401	NODE_5_length_404854_cov_5.515401_129
_9	GH2.hmm	1.6e-108	5.515401	NODE_5_length_404854_cov_5.515401_132
_10	GH36.hmm	3.8e-176	5.765561	NODE_6_length_355335_cov_5.765561_153
_11	GH13_39.hmm	4.9e-131	63.111679	NODE_7_length_346292_cov_63.111679_302
_12	GH2.hmm	2.2e-173	52.680267	NODE_12_length_284101_cov_52.680267_187
_14	GH130.hmm	5.7e-93	21.142515	NODE_17_length_241220_cov_21.142515_6
_15	GH13_31.hmm	2e-170	5.669195	NODE_19_length_231479_cov_5.669195_177
_16	GH2.hmm	8.7e-189	12.388585	NODE_23_length_215713_cov_12.388585_45
_17	GH31.hmm	4.1e-145	42.021754	NODE_31_length_204842_cov_42.021754_12
_18	GH130.hmm	1.2e-88	42.021754	NODE_31_length_204842_cov_42.021754_16
_19	GH36.hmm	5.6e-213	42.021754	NODE_31_length_204842_cov_42.021754_19
_21	GH130.hmm	3.3e-87	5.172298	NODE_32_length_202994_cov_5.172298_131
_22	GH110.hmm	4.5e-158	5.759196	NODE_37_length_193065_cov_5.759196_43
_23	GH35.hmm	2.7e-120	63.784017	NODE_39_length_182503_cov_63.784017_123
_24	GH2.hmm	2.2e-228	3.764553	NODE_54_length_167640_cov_3.764553_2
_25	GH95.hmm	2.1e-246	8.798370	NODE_57_length_164763_cov_8.798370_67
_26	GH2.hmm	2.9e-221	11.665222	NODE_59_length_162752_cov_11.665222_48
_27	GH130.hmm	3.8e-91	11.976463	NODE_64_length_155551_cov_11.976463_46
_28	GH110.hmm	2.3e-231	3.774260	NODE_68_length_149683_cov_3.774260_4
_29	GH84.hmm	2.3e-112	21.377655	NODE_75_length_139855_cov_21.377655_94
_30	GH2.hmm	2e-192	36.819297	NODE_89_length_126413_cov_36.819297_3
_31	GH29.hmm	3.8e-75	36.819297	NODE_89_length_126413_cov_36.819297_5
_33	GH130.hmm	1.4e-91	6.272412	NODE_90_length_126022_cov_6.272412_22
_34	GH130.hmm	3.5e-92	6.272412	NODE_90_length_126022_cov_6.272412_23
_35	GH36.hmm	1.2e-277	6.272412	NODE_90_length_126022_cov_6.272412_30
_36	GH2.hmm	8.1e-21	6.272412	NODE_90_length_126022_cov_6.272412_56
_37	GH2.hmm	4e-143	6.272412	NODE_90_length_126022_cov_6.272412_57
_38	GH110.hmm	1.1e-222	14.346932	NODE_94_length_120378_cov_14.346932_76
_39	GH2.hmm	1.1e-222	24.347937	NODE_95_length_120111_cov_24.347937_66
_40	GH42.hmm	5.8e-162	6.196772	NODE_100_length_118435_cov_6.196772_26
_41	GH13_39.hmm	2.9e-96	6.196772	NODE_100_length_118435_cov_6.196772_91
_42	GH110.hmm	2.3e-209	8.270493	NODE_104_length_116379_cov_8.270493_103
_43	GH31.hmm	1.1e-34	12.830448	NODE_107_length_114939_cov_12.830448_34
_44	GH31.hmm	2.2e-92	12.830448	NODE_107_length_114939_cov_12.830448_35
_45	GH31.hmm	1.4e-147	12.830448	NODE_107_length_114939_cov_12.830448_80
_46	GH84.hmm	9.7e-102	12.219505	NODE_109_length_113596_cov_12.219505_15
_47	GH2.hmm	4.9e-196	9.135861	NODE_116_length_109957_cov_9.135861_100
_49	GH130.hmm	2.2e-90	37.759143	NODE_117_length_109878_cov_37.759143_9
_50	GH36.hmm	6.2e-272	5.715922	NODE_123_length_107826_cov_5.715922_19
_51	GH2.hmm	4.4e-107	5.715922	NODE_123_length_107826_cov_5.715922_22
_52	GH2.hmm	2.2e-212	12.500045	NODE_140_length_100836_cov_12.500045_8
_53	GH2.hmm	6.2e-211	13.742451	NODE_152_length_95673_cov_13.742451_52
_54	GH2.hmm	1.1e-192	20.891503	NODE_155_length_94724_cov_20.891503_75
_55	GH110.hmm	2.1e-237	3.091981	NODE_175_length_87167_cov_3.091981_6
_56	GH2.hmm	1.7e-105	3.237142	NODE_179_length_86520_cov_3.237142_34
_58	GH130.hmm	5.4e-89	8.443231	NODE_183_length_85001_cov_8.443231_29
_59	GH84.hmm	7.3e-106	4.234164	NODE_187_length_84130_cov_4.234164_48
_60	GH2.hmm	4.3e-195	4.234164	NODE_187_length_84130_cov_4.234164_50
_61	GH110.hmm	2.9e-234	13.427437	NODE_196_length_82313_cov_13.427437_38
_62	GH2.hmm	1.4e-210	3.814337	NODE_233_length_73012_cov_3.814337_35
_63	GH29.hmm	4.4e-81	11.578950	NODE_242_length_71647_cov_11.578950_2
_64	GH27.hmm	4.3e-81	3.087119	NODE_245_length_70711_cov_3.087119_7
_66	GH130.hmm	2.6e-93	4.479549	NODE_247_length_70482_cov_4.479549_51
_67	GH110.hmm	5e-222	11.330311	NODE_248_length_70465_cov_11.330311_17
_68	GH84.hmm	2.2e-109	11.330311	NODE_248_length_70465_cov_11.330311_19
_69	GH2.hmm	5.7e-200	22.813234	NODE_250_length_70113_cov_22.813234_9
_70	GH2.hmm	5.9e-216	40.118322	NODE_261_length_67690_cov_40.118322_33
_71	GH84.hmm	1.5e-109	40.118322	NODE_261_length_67690_cov_40.118322_37
_72	GH31.hmm	5.5e-147	2.798729	NODE_303_length_62568_cov_2.798729_45
_73	GH27.hmm	1.3e-80	2.585265	NODE_308_length_62096_cov_2.585265_38
_74	GH2.hmm	1.4e-221	3.061118	NODE_329_length_58621_cov_3.061118_25
_75	GH130.hmm	9.9e-92	3.999539	NODE_345_length_56445_cov_3.999539_36
_76	GH2.hmm	2.6e-225	3.228035	NODE_349_length_56240_cov_3.228035_19
_77	GH2.hmm	1.8e-204	11.298506	NODE_354_length_55702_cov_11.298506_29
_79	GH130.hmm	6e-92	5.949296	NODE_368_length_54489_cov_5.949296_47
_80	GH2.hmm	2.8e-225	3.121706	NODE_371_length_54357_cov_3.121706_26
_81	GH36.hmm	2.2e-217	10.811892	NODE_392_length_51390_cov_10.811892_34
