ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_1	GH2.hmm	2.9e-193	8.434957	NODE_1_length_503382_cov_8.434957_366
_2	GH29.hmm	2.1e-115	4.903830	NODE_2_length_488158_cov_4.903830_4
_3	GH112.hmm	0	4.903830	NODE_2_length_488158_cov_4.903830_169
_4	GH130.hmm	1.5e-94	5.039735	NODE_3_length_421358_cov_5.039735_3
_6	GH130.hmm	7.9e-93	5.039735	NODE_3_length_421358_cov_5.039735_4
_7	GH2.hmm	2.6e-223	5.695428	NODE_4_length_397390_cov_5.695428_172
_8	GH36.hmm	2.6e-269	5.695428	NODE_4_length_397390_cov_5.695428_175
_9	GH2.hmm	6.4e-98	19.947158	NODE_9_length_313635_cov_19.947158_87
_10	GH130.hmm	4.4e-87	19.947158	NODE_9_length_313635_cov_19.947158_215
_11	GH36.hmm	1.3e-209	24.402795	NODE_10_length_311725_cov_24.402795_128
_12	GH31.hmm	1.2e-136	24.402795	NODE_10_length_311725_cov_24.402795_196
_13	GH67.hmm	1e-245	28.461927	NODE_11_length_302026_cov_28.461927_84
_14	GH95.hmm	6e-260	18.656555	NODE_15_length_292069_cov_18.656555_157
_15	GH42.hmm	2.9e-153	18.656555	NODE_15_length_292069_cov_18.656555_239
_16	GH36.hmm	3.8e-253	5.886858	NODE_18_length_255314_cov_5.886858_2
_17	GH112.hmm	0	18.009318	NODE_22_length_234579_cov_18.009318_80
_18	GH13_31.hmm	2.9e-170	5.224267	NODE_23_length_234097_cov_5.224267_56
_19	GH13_31.hmm	1e-128	5.224267	NODE_23_length_234097_cov_5.224267_57
_20	GH13_31.hmm	2.3e-124	13.710824	NODE_24_length_233904_cov_13.710824_18
_21	GH13_31.hmm	1.1e-170	15.114577	NODE_25_length_233597_cov_15.114577_207
_23	GH130.hmm	5.6e-92	22.485764	NODE_29_length_226427_cov_22.485764_54
_24	GH130.hmm	2.6e-93	22.485764	NODE_29_length_226427_cov_22.485764_55
_25	GH36.hmm	8.1e-278	22.485764	NODE_29_length_226427_cov_22.485764_63
_26	GH2.hmm	3.4e-23	22.485764	NODE_29_length_226427_cov_22.485764_75
_27	GH2.hmm	1.4e-134	22.485764	NODE_29_length_226427_cov_22.485764_76
_28	GH13_39.hmm	9.2e-96	22.485764	NODE_29_length_226427_cov_22.485764_113
_29	GH42.hmm	8.5e-161	22.485764	NODE_29_length_226427_cov_22.485764_156
_31	GH130.hmm	1.1e-90	23.104852	NODE_30_length_209695_cov_23.104852_57
_32	GH130.hmm	4.3e-90	27.760317	NODE_36_length_199554_cov_27.760317_67
_33	GH2.hmm	3.2e-214	8.902200	NODE_37_length_197375_cov_8.902200_32
_34	GH2.hmm	3.3e-193	20.635639	NODE_39_length_192986_cov_20.635639_65
_35	GH36.hmm	2e-268	18.016353	NODE_40_length_185876_cov_18.016353_142
_36	GH2.hmm	2.4e-195	21.024090	NODE_46_length_179834_cov_21.024090_54
_37	GH27.hmm	9.6e-72	21.024090	NODE_46_length_179834_cov_21.024090_149
_38	GH4.hmm	1.3e-58	21.669413	NODE_48_length_179116_cov_21.669413_61
_39	GH42.hmm	1.8e-150	8.218341	NODE_59_length_161604_cov_8.218341_132
_40	GH36.hmm	2.2e-193	9.556749	NODE_61_length_160467_cov_9.556749_105
_41	GH27.hmm	7.8e-73	15.515208	NODE_65_length_158499_cov_15.515208_83
_42	GH31.hmm	2.2e-136	5.384134	NODE_66_length_155114_cov_5.384134_90
_43	GH35.hmm	1.3e-120	21.955177	NODE_73_length_143303_cov_21.955177_87
_44	GH110.hmm	4.8e-197	8.954260	NODE_75_length_141525_cov_8.954260_118
_46	GH130.hmm	1.3e-91	21.544857	NODE_76_length_139482_cov_21.544857_113
_47	GH110.hmm	2.1e-219	5.441206	NODE_80_length_136392_cov_5.441206_22
_48	GH29.hmm	2.6e-115	15.920460	NODE_89_length_131915_cov_15.920460_26
_49	GH36.hmm	1.7e-266	8.202178	NODE_93_length_128274_cov_8.202178_38
_50	GH38.hmm	2.1e-76	17.992444	NODE_96_length_127271_cov_17.992444_44
_51	GH36.hmm	3.1e-266	17.992444	NODE_96_length_127271_cov_17.992444_57
_52	GH2.hmm	5.3e-110	5.124570	NODE_100_length_124579_cov_5.124570_1
_53	GH130.hmm	5.9e-87	6.363482	NODE_111_length_116175_cov_6.363482_11
_54	GH2.hmm	8.7e-223	6.363482	NODE_111_length_116175_cov_6.363482_30
_55	GH13_31.hmm	9.3e-152	19.071090	NODE_117_length_111306_cov_19.071090_11
_56	GH29.hmm	7.1e-84	7.083034	NODE_134_length_104088_cov_7.083034_2
_57	GH2.hmm	2.4e-223	5.914518	NODE_153_length_94934_cov_5.914518_15
_58	GH2.hmm	1e-174	8.324195	NODE_156_length_94347_cov_8.324195_16
_59	GH36.hmm	3.3e-208	7.628411	NODE_178_length_85773_cov_7.628411_26
_60	GH31.hmm	5.8e-137	7.628411	NODE_178_length_85773_cov_7.628411_56
_61	GH35.hmm	1.5e-118	6.115807	NODE_187_length_84183_cov_6.115807_48
_62	GH84.hmm	5.1e-104	5.950457	NODE_190_length_83720_cov_5.950457_20
_63	GH29.hmm	2.3e-101	7.426899	NODE_192_length_83452_cov_7.426899_34
_64	GH36.hmm	1.6e-261	8.382590	NODE_212_length_78555_cov_8.382590_9
_65	GH130.hmm	3.6e-89	8.382590	NODE_212_length_78555_cov_8.382590_16
_67	GH130.hmm	4.8e-92	8.382590	NODE_212_length_78555_cov_8.382590_17
_68	GH130.hmm	4.7e-89	8.980365	NODE_214_length_76642_cov_8.980365_46
_69	GH84.hmm	2.7e-120	5.697094	NODE_224_length_74656_cov_5.697094_16
_70	GH42.hmm	1.5e-148	18.856822	NODE_226_length_74052_cov_18.856822_36
_71	GH67.hmm	8.7e-252	6.056772	NODE_228_length_73371_cov_6.056772_35
_72	GH2.hmm	8.8e-214	22.776124	NODE_232_length_71800_cov_22.776124_34
_73	GH29.hmm	1.9e-84	14.252690	NODE_248_length_68309_cov_14.252690_13
