ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_1	GH31.hmm	3e-143	7.544670	NODE_2_length_563394_cov_7.544670_81
_2	GH35.hmm	8.9e-117	6.689421	NODE_3_length_533187_cov_6.689421_139
_3	GH29.hmm	4.1e-110	11.841269	NODE_4_length_479706_cov_11.841269_110
_4	GH27.hmm	2.3e-81	11.841269	NODE_4_length_479706_cov_11.841269_329
_5	GH2.hmm	2.8e-221	5.498433	NODE_5_length_462657_cov_5.498433_138
_6	GH2.hmm	9.3e-201	10.219423	NODE_6_length_445873_cov_10.219423_381
_7	GH29.hmm	4.7e-84	11.755921	NODE_7_length_443807_cov_11.755921_98
_8	GH36.hmm	2.1e-256	17.518942	NODE_8_length_431388_cov_17.518942_306
_10	GH130.hmm	3.1e-91	12.786862	NODE_9_length_427062_cov_12.786862_9
_11	GH29.hmm	3.6e-110	17.918990	NODE_16_length_377507_cov_17.918990_324
_12	GH2.hmm	8.7e-189	9.046686	NODE_18_length_356005_cov_9.046686_157
_13	GH36.hmm	3.3e-208	11.392713	NODE_22_length_332783_cov_11.392713_188
_14	GH31.hmm	3.6e-137	11.392713	NODE_22_length_332783_cov_11.392713_218
_15	GH2.hmm	2.3e-205	11.392713	NODE_22_length_332783_cov_11.392713_244
_16	GH31.hmm	6.9e-145	8.506899	NODE_24_length_297878_cov_8.506899_96
_17	GH2.hmm	6.9e-222	14.040995	NODE_28_length_290402_cov_14.040995_198
_18	GH36.hmm	3.4e-207	11.801549	NODE_29_length_283732_cov_11.801549_181
_19	GH36.hmm	1.3e-207	10.844067	NODE_30_length_282768_cov_10.844067_184
_20	GH67.hmm	2.3e-267	8.484350	NODE_38_length_270342_cov_8.484350_151
_21	GH31.hmm	4.8e-143	8.484350	NODE_38_length_270342_cov_8.484350_187
_22	GH84.hmm	1.3e-105	10.147692	NODE_40_length_264483_cov_10.147692_29
_24	GH130.hmm	4.6e-90	10.147692	NODE_40_length_264483_cov_10.147692_92
_25	GH2.hmm	7.9e-184	10.147692	NODE_40_length_264483_cov_10.147692_101
_26	GH84.hmm	5.7e-114	3.578788	NODE_42_length_256009_cov_3.578788_108
_27	GH110.hmm	1.8e-230	7.607107	NODE_44_length_255182_cov_7.607107_53
_29	GH130.hmm	5.6e-92	12.232346	NODE_45_length_254190_cov_12.232346_87
_30	GH130.hmm	2.6e-93	12.232346	NODE_45_length_254190_cov_12.232346_88
_31	GH36.hmm	8.1e-278	12.232346	NODE_45_length_254190_cov_12.232346_96
_32	GH2.hmm	3.4e-23	12.232346	NODE_45_length_254190_cov_12.232346_108
_33	GH2.hmm	1.4e-134	12.232346	NODE_45_length_254190_cov_12.232346_109
_34	GH13_39.hmm	9.2e-96	12.232346	NODE_45_length_254190_cov_12.232346_146
_35	GH42.hmm	8.5e-161	12.232346	NODE_45_length_254190_cov_12.232346_189
