ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_1	GH35.hmm	8.9e-117	7.819529	NODE_1_length_600863_cov_7.819529_187
_2	GH29.hmm	4e-115	13.541746	NODE_5_length_481981_cov_13.541746_227
_3	GH35.hmm	3e-118	3.820917	NODE_6_length_454321_cov_3.820917_342
_4	GH130.hmm	5e-89	10.624759	NODE_8_length_421472_cov_10.624759_235
_5	GH31.hmm	2.7e-143	8.357689	NODE_11_length_386109_cov_8.357689_81
_6	GH36.hmm	4.5e-276	9.759815	NODE_14_length_361154_cov_9.759815_206
_7	GH130.hmm	2.5e-92	9.759815	NODE_14_length_361154_cov_9.759815_213
_9	GH130.hmm	2.8e-92	9.759815	NODE_14_length_361154_cov_9.759815_214
_10	GH2.hmm	6.9e-212	9.759815	NODE_14_length_361154_cov_9.759815_315
_11	GH36.hmm	1e-275	24.638272	NODE_19_length_325458_cov_24.638272_39
_12	GH130.hmm	1e-92	24.638272	NODE_19_length_325458_cov_24.638272_46
_14	GH130.hmm	1.1e-92	24.638272	NODE_19_length_325458_cov_24.638272_60
_15	GH42.hmm	5e-162	9.477762	NODE_20_length_319779_cov_9.477762_35
_16	GH67.hmm	1.5e-276	26.378205	NODE_21_length_296154_cov_26.378205_49
_17	GH13_39.hmm	5.7e-93	26.378205	NODE_21_length_296154_cov_26.378205_68
_18	GH42.hmm	3.7e-161	26.378205	NODE_21_length_296154_cov_26.378205_180
_19	GH35.hmm	4.7e-121	9.839247	NODE_23_length_292338_cov_9.839247_185
_20	GH2.hmm	1.1e-101	23.402717	NODE_25_length_279413_cov_23.402717_237
_21	GH36.hmm	1.7e-260	23.402717	NODE_25_length_279413_cov_23.402717_239
_22	GH31.hmm	1.1e-142	9.913829	NODE_26_length_269118_cov_9.913829_10
_23	GH67.hmm	2.3e-267	9.913829	NODE_26_length_269118_cov_9.913829_44
_24	GH36.hmm	1.3e-273	9.571466	NODE_27_length_264884_cov_9.571466_18
_25	GH2.hmm	8.3e-100	9.571466	NODE_27_length_264884_cov_9.571466_21
_26	GH36.hmm	1.2e-244	5.140679	NODE_28_length_257759_cov_5.140679_140
_28	GH130.hmm	5.7e-93	8.238783	NODE_31_length_238236_cov_8.238783_171
_29	GH2.hmm	9.5e-26	24.554324	NODE_34_length_227013_cov_24.554324_118
_30	GH2.hmm	5.3e-146	24.554324	NODE_34_length_227013_cov_24.554324_119
_31	GH42.hmm	2.2e-148	24.554324	NODE_34_length_227013_cov_24.554324_120
_32	GH36.hmm	3.3e-208	6.859076	NODE_35_length_221753_cov_6.859076_117
_33	GH31.hmm	3.6e-137	6.859076	NODE_35_length_221753_cov_6.859076_147
_34	GH2.hmm	2.3e-205	6.859076	NODE_35_length_221753_cov_6.859076_174
_36	GH130.hmm	1.6e-92	14.051970	NODE_39_length_207773_cov_14.051970_122
_37	GH130.hmm	4.8e-93	14.051970	NODE_39_length_207773_cov_14.051970_123
_38	GH36.hmm	2.3e-279	14.051970	NODE_39_length_207773_cov_14.051970_132
_39	GH2.hmm	1.8e-24	14.051970	NODE_39_length_207773_cov_14.051970_144
_40	GH2.hmm	6.5e-137	14.051970	NODE_39_length_207773_cov_14.051970_145
_41	GH31.hmm	4.1e-145	16.922926	NODE_43_length_200591_cov_16.922926_12
_42	GH130.hmm	1.2e-88	16.922926	NODE_43_length_200591_cov_16.922926_16
_43	GH36.hmm	5.6e-213	16.922926	NODE_43_length_200591_cov_16.922926_19
_44	GH2.hmm	2e-192	13.357954	NODE_45_length_194212_cov_13.357954_3
_45	GH29.hmm	3.8e-75	13.357954	NODE_45_length_194212_cov_13.357954_5
_46	GH13_39.hmm	2e-132	8.107680	NODE_52_length_175587_cov_8.107680_134
_47	GH130.hmm	2.5e-88	36.334510	NODE_54_length_174571_cov_36.334510_81
_49	GH130.hmm	3.7e-96	36.334510	NODE_54_length_174571_cov_36.334510_84
_50	GH36.hmm	2.4e-269	36.334510	NODE_54_length_174571_cov_36.334510_86
_51	GH130.hmm	4.7e-89	7.901301	NODE_74_length_152032_cov_7.901301_15
_52	GH67.hmm	1.1e-242	7.901301	NODE_74_length_152032_cov_7.901301_90
_54	GH130.hmm	5.3e-91	15.225755	NODE_87_length_137647_cov_15.225755_117
_55	GH2.hmm	2.8e-227	8.642470	NODE_88_length_135015_cov_8.642470_53
_56	GH2.hmm	5.3e-223	7.961469	NODE_90_length_131393_cov_7.961469_101
_57	GH67.hmm	4.9e-280	13.339001	NODE_91_length_130124_cov_13.339001_87
_58	GH42.hmm	2.4e-157	14.424415	NODE_96_length_126568_cov_14.424415_111
_59	GH67.hmm	1.8e-247	4.441483	NODE_101_length_123563_cov_4.441483_27
_60	GH36.hmm	6.9e-210	4.441483	NODE_101_length_123563_cov_4.441483_68
_61	GH84.hmm	2.3e-112	7.165963	NODE_115_length_116657_cov_7.165963_74
_62	GH42.hmm	5.8e-162	35.891933	NODE_119_length_112951_cov_35.891933_34
_63	GH42.hmm	4.6e-146	86.576211	NODE_121_length_112448_cov_86.576211_81
_64	GH2.hmm	9e-218	39.529901	NODE_126_length_109374_cov_39.529901_19
_65	GH13_31.hmm	1.4e-151	10.270193	NODE_128_length_108610_cov_10.270193_74
_66	GH35.hmm	3.3e-122	42.987416	NODE_141_length_99107_cov_42.987416_48
_67	GH42.hmm	6.1e-152	42.987416	NODE_141_length_99107_cov_42.987416_62
_68	GH13_31.hmm	3.6e-148	41.972452	NODE_143_length_99051_cov_41.972452_19
_70	GH130.hmm	2.2e-90	14.795879	NODE_155_length_94598_cov_14.795879_9
_71	GH42.hmm	2e-153	4.987006	NODE_169_length_90986_cov_4.987006_14
_72	GH36.hmm	1.3e-271	36.399703	NODE_186_length_86234_cov_36.399703_10
_73	GH36.hmm	6.5e-279	14.134437	NODE_192_length_83621_cov_14.134437_9
_74	GH13_31.hmm	8.8e-163	5.447758	NODE_195_length_82825_cov_5.447758_39
_75	GH13_31.hmm	2.3e-123	5.447758	NODE_195_length_82825_cov_5.447758_40
_76	GH2.hmm	1.1e-222	8.865556	NODE_226_length_77198_cov_8.865556_26
_77	GH2.hmm	1.1e-192	7.382670	NODE_233_length_76286_cov_7.382670_33
_78	GH2.hmm	5.7e-227	8.047651	NODE_236_length_75414_cov_8.047651_49
_79	GH2.hmm	2.6e-143	37.893734	NODE_242_length_74013_cov_37.893734_9
_80	GH2.hmm	8.1e-21	37.893734	NODE_242_length_74013_cov_37.893734_10
_81	GH36.hmm	1.2e-277	37.893734	NODE_242_length_74013_cov_37.893734_36
_82	GH130.hmm	3.5e-92	37.893734	NODE_242_length_74013_cov_37.893734_43
_84	GH130.hmm	1.4e-91	37.893734	NODE_242_length_74013_cov_37.893734_44
_85	GH13_39.hmm	3.1e-95	5.870249	NODE_257_length_70322_cov_5.870249_44
_86	GH2.hmm	5.9e-106	6.633646	NODE_268_length_68324_cov_6.633646_32
_88	GH130.hmm	1.8e-91	13.277321	NODE_270_length_68128_cov_13.277321_50
_89	GH2.hmm	5.9e-216	15.263851	NODE_274_length_67690_cov_15.263851_33
_90	GH84.hmm	1.5e-109	15.263851	NODE_274_length_67690_cov_15.263851_37
_91	GH36.hmm	4e-271	6.246610	NODE_277_length_67047_cov_6.246610_2
_92	GH2.hmm	3.7e-119	42.984347	NODE_294_length_64427_cov_42.984347_29
_93	GH2.hmm	6.8e-103	7.602075	NODE_304_length_62760_cov_7.602075_5
_94	GH2.hmm	9.5e-214	4.597060	NODE_315_length_61598_cov_4.597060_5
_95	GH130.hmm	9e-89	4.597060	NODE_315_length_61598_cov_4.597060_39
_96	GH2.hmm	4.4e-107	36.995442	NODE_347_length_56266_cov_36.995442_30
_97	GH36.hmm	6.2e-272	36.995442	NODE_347_length_56266_cov_36.995442_33
_99	GH130.hmm	6e-92	35.079185	NODE_353_length_55636_cov_35.079185_23
_100	GH31.hmm	3.3e-142	4.552203	NODE_400_length_48952_cov_4.552203_35
_101	GH29.hmm	1.8e-79	7.815441	NODE_415_length_48318_cov_7.815441_12
_102	GH36.hmm	2.6e-288	5.771592	NODE_437_length_46328_cov_5.771592_12
_103	GH13_39.hmm	2.9e-96	36.861341	NODE_467_length_44297_cov_36.861341_33
_104	GH36.hmm	1.2e-259	3.332546	NODE_469_length_44140_cov_3.332546_13
_105	GH13_31.hmm	6.5e-170	3.085557	NODE_508_length_41202_cov_3.085557_4
_106	GH13_39.hmm	3.1e-94	2.733173	NODE_570_length_36302_cov_2.733173_2
_107	GH84.hmm	3.5e-113	7.976205	NODE_604_length_35102_cov_7.976205_16
_108	GH2.hmm	1e-223	6.680502	NODE_633_length_33873_cov_6.680502_3
_110	GH130.hmm	1.4e-89	6.680502	NODE_633_length_33873_cov_6.680502_5
_111	GH20.hmm	1.6e-55	2.791564	NODE_644_length_33309_cov_2.791564_8
_112	GH42.hmm	5.1e-159	5.424962	NODE_654_length_33025_cov_5.424962_27
_113	GH42.hmm	9.6e-149	3.465508	NODE_657_length_32900_cov_3.465508_11
_114	GH84.hmm	1.2e-105	2.629682	NODE_673_length_32135_cov_2.629682_26
_115	GH36.hmm	3.9e-273	2.550899	NODE_708_length_30754_cov_2.550899_17
_116	GH13_31.hmm	2.1e-170	29.091633	NODE_724_length_30215_cov_29.091633_17
_117	GH35.hmm	7.2e-117	3.344406	NODE_725_length_30170_cov_3.344406_2
_118	GH2.hmm	2e-113	5.273071	NODE_729_length_30003_cov_5.273071_8
_119	GH110.hmm	4.8e-200	2.456443	NODE_742_length_29275_cov_2.456443_5
_120	GH2.hmm	8.9e-224	2.456443	NODE_742_length_29275_cov_2.456443_6
_121	GH36.hmm	3.4e-267	2.583712	NODE_751_length_28962_cov_2.583712_2
_122	GH2.hmm	8.3e-218	4.672880	NODE_785_length_27993_cov_4.672880_3
_123	GH112.hmm	0	5.004093	NODE_788_length_27946_cov_5.004093_18
_124	GH110.hmm	5.1e-205	6.642080	NODE_868_length_25922_cov_6.642080_6
_125	GH36.hmm	6.3e-200	3.204863	NODE_926_length_24238_cov_3.204863_5
_126	GH2.hmm	5.2e-109	5.795611	NODE_973_length_23154_cov_5.795611_11
_127	GH29.hmm	2.7e-92	8.378643	NODE_1038_length_21849_cov_8.378643_13
_128	GH2.hmm	7.8e-143	21.109955	NODE_1062_length_21431_cov_21.109955_16
_129	GH2.hmm	2.7e-21	21.109955	NODE_1062_length_21431_cov_21.109955_17
_130	GH31.hmm	2.2e-136	3.440530	NODE_1092_length_20929_cov_3.440530_11
_131	GH27.hmm	3e-66	45.073097	NODE_1101_length_20821_cov_45.073097_9
_132	GH29.hmm	2.5e-82	7.310612	NODE_1105_length_20751_cov_7.310612_14
_133	GH112.hmm	0	3.228962	NODE_1146_length_20059_cov_3.228962_20
_134	GH2.hmm	1.6e-216	3.122076	NODE_1202_length_19247_cov_3.122076_10
_135	GH13_31.hmm	2.6e-170	13.441271	NODE_1238_length_18791_cov_13.441271_8
_136	GH2.hmm	1.2e-215	2.530080	NODE_1247_length_18662_cov_2.530080_7
_137	GH2.hmm	6.1e-217	6.638713	NODE_1263_length_18435_cov_6.638713_7
_138	GH36.hmm	4.2e-169	9.775842	NODE_1271_length_18350_cov_9.775842_7
_139	GH13_31.hmm	2.3e-170	14.795569	NODE_1293_length_18150_cov_14.795569_9
_140	GH13_31.hmm	1.8e-170	2.302726	NODE_1301_length_18032_cov_2.302726_2
_141	GH110.hmm	2.6e-228	7.856784	NODE_1302_length_18019_cov_7.856784_14
_142	GH2.hmm	3.5e-207	2.594948	NODE_1395_length_16920_cov_2.594948_10
_143	GH35.hmm	2.1e-118	5.682230	NODE_1409_length_16758_cov_5.682230_6
_144	GH2.hmm	8.6e-10	23.363994	NODE_1591_length_15098_cov_23.363994_1
_145	GH95.hmm	1.5e-298	5.450376	NODE_1625_length_14856_cov_5.450376_7
_146	GH67.hmm	2.9e-268	5.548549	NODE_1632_length_14812_cov_5.548549_5
_148	GH130.hmm	6.9e-91	25.152507	NODE_1655_length_14573_cov_25.152507_4
_149	GH130.hmm	1.5e-92	25.152507	NODE_1655_length_14573_cov_25.152507_5
_150	GH4.hmm	2.5e-64	2.572962	NODE_1803_length_13602_cov_2.572962_3
_151	GH36.hmm	8.1e-289	2.593186	NODE_1843_length_13332_cov_2.593186_7
_152	GH2.hmm	9.2e-235	6.246410	NODE_1915_length_12838_cov_6.246410_1
_153	GH29.hmm	1.4e-84	2.113034	NODE_2041_length_12056_cov_2.113034_4
_154	GH36.hmm	6.1e-274	2.356046	NODE_2084_length_11821_cov_2.356046_9
_155	GH110.hmm	1.9e-235	6.122979	NODE_2177_length_11414_cov_6.122979_8
_157	GH130.hmm	5e-93	3.260874	NODE_2294_length_10924_cov_3.260874_4
_158	GH130.hmm	2.3e-89	3.260874	NODE_2294_length_10924_cov_3.260874_6
_159	GH36.hmm	2.4e-260	3.260874	NODE_2294_length_10924_cov_3.260874_10
_160	GH84.hmm	1.2e-107	2.533321	NODE_2319_length_10824_cov_2.533321_3
_161	GH36.hmm	4.2e-279	23.866351	NODE_2365_length_10660_cov_23.866351_6
_163	GH130.hmm	2.8e-93	2.522302	NODE_2503_length_10206_cov_2.522302_5
_164	GH130.hmm	4.7e-86	2.522302	NODE_2503_length_10206_cov_2.522302_7
_165	GH84.hmm	1.1e-97	9.387698	NODE_2551_length_10077_cov_9.387698_1
_166	GH84.hmm	1.8e-95	9.387698	NODE_2551_length_10077_cov_9.387698_2
_167	GH2.hmm	7.9e-184	2.907425	NODE_2644_length_9806_cov_2.907425_2
_168	GH36.hmm	3.7e-272	19.042520	NODE_2693_length_9667_cov_19.042520_3
_169	GH2.hmm	1.1e-76	19.042520	NODE_2693_length_9667_cov_19.042520_6
_170	GH29.hmm	2.2e-79	2.474873	NODE_2739_length_9527_cov_2.474873_3
_172	GH130.hmm	4.6e-90	2.479953	NODE_2741_length_9523_cov_2.479953_3
_173	GH2.hmm	3.1e-200	3.054842	NODE_2789_length_9358_cov_3.054842_2
_174	GH112.hmm	5.1e-240	2.262028	NODE_3044_length_8617_cov_2.262028_5
_175	GH112.hmm	3.5e-47	2.262028	NODE_3044_length_8617_cov_2.262028_6
_176	GH2.hmm	1e-86	2.769287	NODE_3211_length_8287_cov_2.769287_7
_177	GH112.hmm	3.3e-296	2.976670	NODE_3213_length_8282_cov_2.976670_5
_178	GH36.hmm	1.6e-269	2.420741	NODE_3424_length_7867_cov_2.420741_2
_179	GH67.hmm	2.4e-237	1.747381	NODE_3442_length_7826_cov_1.747381_2
_180	GH13_31.hmm	6.7e-169	2.162511	NODE_3475_length_7756_cov_2.162511_4
_181	GH13_31.hmm	4.2e-132	2.162511	NODE_3475_length_7756_cov_2.162511_6
_182	GH2.hmm	5.3e-52	1.700094	NODE_3620_length_7504_cov_1.700094_1
_183	GH13_39.hmm	1.3e-134	2.410090	NODE_3739_length_7330_cov_2.410090_2
_184	GH84.hmm	9.5e-109	2.354683	NODE_3745_length_7324_cov_2.354683_3
_185	GH2.hmm	2.2e-107	2.590240	NODE_3805_length_7226_cov_2.590240_5
_186	GH2.hmm	2.5e-218	2.501743	NODE_3968_length_6981_cov_2.501743_3
_187	GH130.hmm	1.9e-93	2.161324	NODE_4028_length_6895_cov_2.161324_4
_189	GH130.hmm	1.4e-94	2.161324	NODE_4028_length_6895_cov_2.161324_5
_190	GH110.hmm	9.5e-143	2.164407	NODE_4375_length_6512_cov_2.164407_5
_191	GH112.hmm	0	2.587069	NODE_4583_length_6297_cov_2.587069_3
_193	GH36.hmm	1.3e-223	1.943623	NODE_5449_length_5505_cov_1.943623_5
_194	GH36.hmm	1.3e-262	3.074610	NODE_5479_length_5483_cov_3.074610_2
_195	GH130.hmm	4.7e-85	1.686526	NODE_5481_length_5483_cov_1.686526_2
_197	GH130.hmm	1.5e-90	1.686526	NODE_5481_length_5483_cov_1.686526_4
_198	GH67.hmm	3.7e-206	2.490302	NODE_5513_length_5457_cov_2.490302_2
_199	GH112.hmm	8.4e-247	1.686040	NODE_5766_length_5274_cov_1.686040_1
_200	GH2.hmm	1.3e-217	2.324673	NODE_5965_length_5137_cov_2.324673_3
_201	GH36.hmm	1.5e-244	2.603936	NODE_6219_length_4973_cov_2.603936_3
_202	GH36.hmm	3.1e-258	1.889910	NODE_6379_length_4882_cov_1.889910_3
_203	GH95.hmm	1.9e-270	2.587997	NODE_6557_length_4777_cov_2.587997_2
_204	GH13_31.hmm	8.4e-101	2.398586	NODE_6574_length_4764_cov_2.398586_7
_205	GH29.hmm	1e-81	2.550744	NODE_6759_length_4667_cov_2.550744_1
_206	GH130.hmm	6.8e-92	4.221731	NODE_6854_length_4623_cov_4.221731_3
_207	GH36.hmm	4.3e-262	2.131896	NODE_7126_length_4500_cov_2.131896_2
_209	GH130.hmm	9e-92	2.131896	NODE_7126_length_4500_cov_2.131896_3
_210	GH2.hmm	5.2e-156	2.548534	NODE_7139_length_4494_cov_2.548534_4
_211	GH36.hmm	8.1e-247	3.089764	NODE_7223_length_4462_cov_3.089764_1
_212	GH42.hmm	3.2e-161	19.673122	NODE_7395_length_4381_cov_19.673122_2
_213	GH67.hmm	4.6e-159	1.845004	NODE_7572_length_4308_cov_1.845004_1
_214	GH36.hmm	4.3e-213	7.217295	NODE_7915_length_4177_cov_7.217295_3
_215	GH36.hmm	8.9e-249	2.191291	NODE_8240_length_4068_cov_2.191291_2
_216	GH130.hmm	1.4e-87	1.962571	NODE_8530_length_3969_cov_1.962571_3
_217	GH42.hmm	3.5e-162	1.611681	NODE_8776_length_3896_cov_1.611681_2
_218	GH130.hmm	1.8e-16	2.273781	NODE_8800_length_3890_cov_2.273781_1
_219	GH130.hmm	6.3e-46	1.811939	NODE_8841_length_3881_cov_1.811939_1
_221	GH130.hmm	1.5e-92	1.758998	NODE_8954_length_3846_cov_1.758998_2
_222	GH2.hmm	2.7e-91	1.987483	NODE_9201_length_3770_cov_1.987483_3
_223	GH35.hmm	5.9e-119	1.896157	NODE_9222_length_3764_cov_1.896157_3
_224	GH2.hmm	7.8e-151	2.199017	NODE_9244_length_3758_cov_2.199017_1
_225	GH36.hmm	2.4e-165	1.987730	NODE_9527_length_3681_cov_1.987730_3
_226	GH36.hmm	7.6e-177	18.699832	NODE_9560_length_3673_cov_18.699832_4
_227	GH42.hmm	2.5e-58	1.471457	NODE_9793_length_3616_cov_1.471457_4
_229	GH42.hmm	1.9e-84	1.661919	NODE_10116_length_3535_cov_1.661919_1
_230	GH2.hmm	8.5e-171	1.960864	NODE_10183_length_3519_cov_1.960864_1
_231	GH2.hmm	2.9e-184	2.285458	NODE_10536_length_3437_cov_2.285458_1
_232	GH2.hmm	8.5e-144	2.052474	NODE_10573_length_3430_cov_2.052474_2
_233	GH38.hmm	1.8e-75	1.505260	NODE_10625_length_3422_cov_1.505260_2
_234	GH36.hmm	2.3e-217	1.619220	NODE_10702_length_3404_cov_1.619220_1
_235	GH95.hmm	1.6e-218	2.273416	NODE_10749_length_3394_cov_2.273416_1
_236	GH110.hmm	2.7e-221	2.482972	NODE_11101_length_3325_cov_2.482972_2
_237	GH31.hmm	5e-99	1.981323	NODE_11451_length_3254_cov_1.981323_2
_238	GH4.hmm	2.9e-55	2.044649	NODE_11458_length_3253_cov_2.044649_2
_239	GH36.hmm	8.3e-196	1.894484	NODE_11667_length_3213_cov_1.894484_1
_240	GH2.hmm	2.3e-215	2.430881	NODE_12124_length_3126_cov_2.430881_2
_241	GH36.hmm	1.5e-201	1.771467	NODE_12352_length_3088_cov_1.771467_2
_242	GH20.hmm	1.6e-102	2.317726	NODE_12367_length_3085_cov_2.317726_2
_243	GH35.hmm	2e-119	2.241521	NODE_12783_length_3014_cov_2.241521_2
_244	GH36.hmm	8.9e-270	2.064080	NODE_12976_length_2982_cov_2.064080_2
_245	GH130.hmm	8.6e-92	1.683698	NODE_13048_length_2972_cov_1.683698_2
_247	GH130.hmm	4e-84	1.683698	NODE_13048_length_2972_cov_1.683698_3
_248	GH13_31.hmm	2.5e-32	1.751399	NODE_13166_length_2955_cov_1.751399_1
_249	GH4.hmm	9.5e-65	1.207347	NODE_13352_length_2926_cov_1.207347_1
_250	GH35.hmm	2.1e-120	1.541979	NODE_13561_length_2894_cov_1.541979_1
_251	GH36.hmm	8.4e-186	1.431665	NODE_14515_length_2773_cov_1.431665_1
_252	GH13_39.hmm	1e-19	2.146278	NODE_14552_length_2768_cov_2.146278_1
_253	GH84.hmm	2.2e-109	2.214860	NODE_15052_length_2706_cov_2.214860_1
_254	GH112.hmm	2e-275	1.476829	NODE_15059_length_2706_cov_1.476829_1
_255	GH112.hmm	3.9e-276	1.857800	NODE_15073_length_2704_cov_1.857800_1
_256	GH2.hmm	2.1e-205	2.281214	NODE_15120_length_2698_cov_2.281214_1
_257	GH31.hmm	5.8e-62	2.088224	NODE_15688_length_2634_cov_2.088224_2
_258	GH67.hmm	6.1e-188	1.758593	NODE_15755_length_2626_cov_1.758593_2
_259	GH2.hmm	2.6e-210	1.809524	NODE_15875_length_2615_cov_1.809524_1
_260	GH112.hmm	3.4e-264	2.168109	NODE_16777_length_2522_cov_2.168109_2
_261	GH31.hmm	7.4e-143	2.253322	NODE_16955_length_2503_cov_2.253322_2
_262	GH31.hmm	2e-63	1.576795	NODE_17086_length_2491_cov_1.576795_1
_264	GH112.hmm	1e-71	1.909702	NODE_17239_length_2476_cov_1.909702_1
_265	GH36.hmm	2.4e-119	1.871173	NODE_17524_length_2447_cov_1.871173_3
_266	GH95.hmm	3e-137	1.434801	NODE_17907_length_2411_cov_1.434801_2
_267	GH36.hmm	1.1e-173	1.945045	NODE_17958_length_2406_cov_1.945045_2
_268	GH13_31.hmm	2.5e-139	2.572113	NODE_18139_length_2390_cov_2.572113_1
_269	GH112.hmm	1.8e-35	1.555022	NODE_18202_length_2385_cov_1.555022_1
_271	GH36.hmm	9.4e-177	1.801059	NODE_18473_length_2362_cov_1.801059_2
_272	GH36.hmm	1.7e-110	1.801059	NODE_18473_length_2362_cov_1.801059_3
_274	GH42.hmm	1.4e-159	1.906236	NODE_18935_length_2324_cov_1.906236_1
_275	GH112.hmm	3.5e-51	1.277600	NODE_19473_length_2278_cov_1.277600_4
_276	GH2.hmm	3.2e-135	1.555661	NODE_20447_length_2206_cov_1.555661_2
_278	GH130.hmm	1.1e-94	1.207773	NODE_22055_length_2102_cov_1.207773_1
_279	GH42.hmm	6.2e-15	1.230808	NODE_22524_length_2075_cov_1.230808_1
_280	GH36.hmm	7.3e-194	2.178553	NODE_22568_length_2072_cov_2.178553_1
_282	GH130.hmm	3.4e-70	4.830015	NODE_22836_length_2054_cov_4.830015_2
_283	GH130.hmm	7.5e-86	1.835120	NODE_22842_length_2054_cov_1.835120_3
_284	GH36.hmm	5e-164	1.584270	NODE_22867_length_2053_cov_1.584270_1
_286	GH130.hmm	3.4e-92	1.841482	NODE_23116_length_2038_cov_1.841482_2
_287	GH35.hmm	5.1e-82	3.283574	NODE_23232_length_2031_cov_3.283574_3
_288	GH36.hmm	1.4e-113	2.093506	NODE_23426_length_2020_cov_2.093506_1
_290	GH130.hmm	2e-92	1.057895	NODE_23901_length_1995_cov_1.057895_2
_291	GH130.hmm	1.2e-82	2.137708	NODE_24658_length_1954_cov_2.137708_2
_292	GH27.hmm	5.1e-27	1.413125	NODE_24670_length_1954_cov_1.413125_3
_293	GH2.hmm	2.2e-159	8.414528	NODE_25231_length_1926_cov_8.414528_1
_294	GH112.hmm	7.6e-51	1.343062	NODE_25547_length_1911_cov_1.343062_4
_295	GH35.hmm	1.6e-117	1.388736	NODE_25656_length_1906_cov_1.388736_1
_296	GH2.hmm	1.2e-88	1.586860	NODE_25958_length_1891_cov_1.586860_1
_297	GH2.hmm	9.2e-22	1.586860	NODE_25958_length_1891_cov_1.586860_2
_299	GH130.hmm	2.9e-82	1.936972	NODE_26346_length_1872_cov_1.936972_1
