ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_1	GH29.hmm	3.1e-117	10.753989	NODE_1_length_549602_cov_10.753989_205
_2	GH130.hmm	1.8e-85	10.753989	NODE_1_length_549602_cov_10.753989_298
_4	GH130.hmm	5.3e-93	10.753989	NODE_1_length_549602_cov_10.753989_300
_5	GH36.hmm	2.7e-260	10.753989	NODE_1_length_549602_cov_10.753989_306
_6	GH42.hmm	6.5e-153	10.753989	NODE_1_length_549602_cov_10.753989_330
_7	GH2.hmm	2.2e-173	31.550969	NODE_2_length_524172_cov_31.550969_428
_8	GH42.hmm	1.8e-153	6.961284	NODE_5_length_375775_cov_6.961284_138
_9	GH112.hmm	0	6.961284	NODE_5_length_375775_cov_6.961284_247
_11	GH130.hmm	6e-92	45.259283	NODE_6_length_372002_cov_45.259283_306
_12	GH4.hmm	6.3e-58	5.290467	NODE_7_length_355313_cov_5.290467_195
_13	GH13_31.hmm	2e-170	43.108872	NODE_9_length_342699_cov_43.108872_271
_14	GH36.hmm	1.7e-226	29.639047	NODE_13_length_326553_cov_29.639047_10
_15	GH29.hmm	2.2e-86	29.639047	NODE_13_length_326553_cov_29.639047_301
_16	GH35.hmm	6.6e-117	7.340164	NODE_16_length_299580_cov_7.340164_211
_17	GH2.hmm	1.8e-206	12.620258	NODE_20_length_276572_cov_12.620258_32
_18	GH2.hmm	2e-216	7.810103	NODE_25_length_247676_cov_7.810103_197
_19	GH13_31.hmm	5.8e-170	6.160869	NODE_32_length_219255_cov_6.160869_17
_20	GH13_31.hmm	7.5e-125	6.160869	NODE_32_length_219255_cov_6.160869_18
_21	GH36.hmm	3.6e-277	6.160869	NODE_32_length_219255_cov_6.160869_176
_22	GH36.hmm	4.6e-282	6.160869	NODE_32_length_219255_cov_6.160869_182
_23	GH2.hmm	3.2e-214	6.075924	NODE_35_length_216141_cov_6.075924_30
_24	GH36.hmm	1.1e-248	10.227306	NODE_36_length_214357_cov_10.227306_89
_25	GH20.hmm	3.3e-96	4.590818	NODE_45_length_201695_cov_4.590818_72
_26	GH42.hmm	8.8e-153	11.160457	NODE_46_length_199924_cov_11.160457_86
_28	GH130.hmm	9.9e-95	5.122811	NODE_47_length_192602_cov_5.122811_112
_29	GH130.hmm	4.8e-90	5.122811	NODE_47_length_192602_cov_5.122811_113
_30	GH36.hmm	2e-207	8.626822	NODE_48_length_191398_cov_8.626822_91
_31	GH36.hmm	2.1e-262	12.767205	NODE_49_length_190975_cov_12.767205_73
_32	GH13_31.hmm	9.7e-162	11.326142	NODE_54_length_183469_cov_11.326142_139
_33	GH13_31.hmm	8e-142	11.326142	NODE_54_length_183469_cov_11.326142_174
_34	GH36.hmm	1.7e-272	5.624130	NODE_55_length_182626_cov_5.624130_85
_35	GH36.hmm	2.9e-264	4.213862	NODE_60_length_179444_cov_4.213862_75
_36	GH36.hmm	6.2e-272	43.299375	NODE_66_length_170737_cov_43.299375_53
_37	GH2.hmm	4.4e-107	43.299375	NODE_66_length_170737_cov_43.299375_56
_38	GH112.hmm	0	4.456731	NODE_70_length_164334_cov_4.456731_132
_39	GH36.hmm	2.2e-193	27.871283	NODE_72_length_160470_cov_27.871283_105
_40	GH13_31.hmm	6.2e-169	10.014516	NODE_75_length_156195_cov_10.014516_46
_41	GH13_31.hmm	1.4e-125	10.014516	NODE_75_length_156195_cov_10.014516_48
_42	GH84.hmm	8.3e-106	7.097245	NODE_80_length_148205_cov_7.097245_47
_43	GH2.hmm	1.3e-194	7.097245	NODE_80_length_148205_cov_7.097245_48
_44	GH2.hmm	1.4e-221	7.097245	NODE_80_length_148205_cov_7.097245_72
_45	GH42.hmm	2.5e-159	7.679425	NODE_83_length_143294_cov_7.679425_79
_46	GH2.hmm	1.2e-213	4.554106	NODE_88_length_140348_cov_4.554106_98
_47	GH110.hmm	4.8e-197	24.770238	NODE_93_length_139065_cov_24.770238_11
_48	GH110.hmm	2e-208	4.610875	NODE_94_length_138241_cov_4.610875_44
_49	GH36.hmm	2.4e-268	4.828391	NODE_95_length_138229_cov_4.828391_63
_50	GH130.hmm	4.9e-89	4.828391	NODE_95_length_138229_cov_4.828391_70
_52	GH130.hmm	2.5e-93	4.828391	NODE_95_length_138229_cov_4.828391_72
_53	GH13_39.hmm	4.2e-97	6.046477	NODE_96_length_138185_cov_6.046477_104
_54	GH13_31.hmm	2.8e-169	5.017578	NODE_97_length_137939_cov_5.017578_88
_55	GH13_31.hmm	7.5e-131	5.017578	NODE_97_length_137939_cov_5.017578_89
_56	GH2.hmm	5.1e-212	3.467472	NODE_99_length_137652_cov_3.467472_47
