ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_1	GH29.hmm	2.2e-86	9.900309	NODE_1_length_1105032_cov_9.900309_85
_2	GH2.hmm	1.6e-173	9.900309	NODE_1_length_1105032_cov_9.900309_187
_3	GH35.hmm	2.7e-120	9.900309	NODE_1_length_1105032_cov_9.900309_882
_4	GH31.hmm	2.7e-143	5.980608	NODE_4_length_498396_cov_5.980608_317
_5	GH36.hmm	2.9e-279	7.108159	NODE_5_length_438448_cov_7.108159_69
_6	GH35.hmm	8.9e-117	5.260708	NODE_11_length_309330_cov_5.260708_179
_7	GH2.hmm	2.3e-205	20.448992	NODE_13_length_293510_cov_20.448992_10
_8	GH31.hmm	3.6e-137	20.448992	NODE_13_length_293510_cov_20.448992_36
_9	GH36.hmm	3.3e-208	20.448992	NODE_13_length_293510_cov_20.448992_66
_10	GH36.hmm	2.2e-206	19.050895	NODE_14_length_291224_cov_19.050895_185
_11	GH31.hmm	1.1e-142	6.958634	NODE_19_length_266209_cov_6.958634_10
_12	GH67.hmm	2.3e-267	6.958634	NODE_19_length_266209_cov_6.958634_44
_13	GH95.hmm	9.6e-296	7.134865	NODE_20_length_257678_cov_7.134865_134
_14	GH35.hmm	1.8e-120	5.753779	NODE_23_length_253786_cov_5.753779_199
_15	GH13_39.hmm	6.6e-115	4.582611	NODE_32_length_221287_cov_4.582611_7
_16	GH42.hmm	7.7e-148	4.582611	NODE_32_length_221287_cov_4.582611_91
_17	GH130.hmm	1.9e-89	5.690500	NODE_38_length_205688_cov_5.690500_189
_18	GH36.hmm	6.7e-207	21.292559	NODE_40_length_201613_cov_21.292559_21
_20	GH130.hmm	2.1e-88	9.842364	NODE_46_length_185750_cov_9.842364_8
_21	GH27.hmm	6.4e-55	13.339810	NODE_56_length_165726_cov_13.339810_108
_22	GH42.hmm	1.3e-158	6.309315	NODE_57_length_164203_cov_6.309315_18
_23	GH31.hmm	2.8e-136	8.934604	NODE_58_length_163896_cov_8.934604_89
_24	GH36.hmm	1.8e-226	8.887284	NODE_66_length_153871_cov_8.887284_133
_25	GH67.hmm	1.1e-242	24.529728	NODE_67_length_152781_cov_24.529728_36
_26	GH130.hmm	4.7e-89	24.529728	NODE_67_length_152781_cov_24.529728_111
_27	GH84.hmm	8.9e-108	8.817251	NODE_70_length_151319_cov_8.817251_72
_28	GH110.hmm	4.8e-197	15.878491	NODE_81_length_141525_cov_15.878491_118
_29	GH2.hmm	1.9e-216	19.439180	NODE_82_length_141199_cov_19.439180_90
_31	GH130.hmm	2.3e-85	13.861065	NODE_85_length_140794_cov_13.861065_38
