ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_1	GH29.hmm	4.1e-110	17.351033	NODE_1_length_1155394_cov_17.351033_705
_2	GH27.hmm	2.3e-81	17.351033	NODE_1_length_1155394_cov_17.351033_924
_3	GH31.hmm	5.8e-137	78.620138	NODE_2_length_787546_cov_78.620138_20
_4	GH2.hmm	3e-213	18.221169	NODE_3_length_568222_cov_18.221169_70
_5	GH29.hmm	4.4e-83	18.221169	NODE_3_length_568222_cov_18.221169_74
_6	GH29.hmm	4.7e-84	18.221169	NODE_3_length_568222_cov_18.221169_198
_8	GH130.hmm	6.1e-92	35.511741	NODE_4_length_556583_cov_35.511741_155
_9	GH36.hmm	1.4e-218	20.091855	NODE_6_length_531223_cov_20.091855_12
_10	GH2.hmm	5.2e-218	20.091855	NODE_6_length_531223_cov_20.091855_180
_11	GH130.hmm	4.5e-91	20.091855	NODE_6_length_531223_cov_20.091855_293
_12	GH110.hmm	1.1e-237	20.091855	NODE_6_length_531223_cov_20.091855_362
_13	GH2.hmm	9.3e-212	15.785236	NODE_7_length_430134_cov_15.785236_26
_15	GH130.hmm	3.1e-91	19.579108	NODE_8_length_427243_cov_19.579108_335
_16	GH110.hmm	6.1e-239	21.678887	NODE_9_length_414831_cov_21.678887_60
_17	GH27.hmm	4.3e-81	21.678887	NODE_9_length_414831_cov_21.678887_135
_18	GH31.hmm	2.5e-138	41.663764	NODE_12_length_344398_cov_41.663764_225
_19	GH31.hmm	3.6e-148	41.663764	NODE_12_length_344398_cov_41.663764_272
_20	GH35.hmm	1.9e-122	13.977156	NODE_13_length_341184_cov_13.977156_101
_21	GH2.hmm	9.1e-222	34.007091	NODE_15_length_324182_cov_34.007091_33
_22	GH84.hmm	5.7e-114	34.007091	NODE_15_length_324182_cov_34.007091_171
_23	GH29.hmm	5.8e-83	14.401416	NODE_18_length_290584_cov_14.401416_33
_24	GH2.hmm	6.9e-222	21.519950	NODE_19_length_290402_cov_21.519950_54
_26	GH130.hmm	5.8e-95	13.106480	NODE_20_length_282288_cov_13.106480_161
_27	GH2.hmm	4e-230	13.106480	NODE_20_length_282288_cov_13.106480_199
_28	GH36.hmm	5e-254	4.171298	NODE_21_length_279695_cov_4.171298_190
_29	GH2.hmm	7.9e-208	5.284353	NODE_25_length_264182_cov_5.284353_24
_30	GH36.hmm	8.4e-211	17.576484	NODE_34_length_205197_cov_17.576484_51
_31	GH2.hmm	2.7e-220	17.277905	NODE_38_length_189768_cov_17.277905_49
