ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_1	GH84.hmm	1.1e-103	42.214131	NODE_1_length_589117_cov_42.214131_183
_2	GH36.hmm	8.5e-226	25.551972	NODE_3_length_451020_cov_25.551972_276
_3	GH29.hmm	1.3e-73	44.203169	NODE_5_length_421074_cov_44.203169_214
_4	GH2.hmm	1.6e-184	44.203169	NODE_5_length_421074_cov_44.203169_215
_5	GH2.hmm	1.1e-212	26.380275	NODE_7_length_363377_cov_26.380275_226
_6	GH2.hmm	2.2e-173	26.710500	NODE_8_length_348865_cov_26.710500_190
_7	GH29.hmm	2.2e-86	26.710500	NODE_8_length_348865_cov_26.710500_299
_8	GH110.hmm	4.7e-194	44.552377	NODE_9_length_318906_cov_44.552377_166
_10	GH130.hmm	6.1e-92	19.429978	NODE_15_length_253724_cov_19.429978_198
_11	GH13_39.hmm	4.9e-131	32.023390	NODE_16_length_253619_cov_32.023390_191
_12	GH95.hmm	3e-267	25.271702	NODE_18_length_234705_cov_25.271702_90
_13	GH31.hmm	3.1e-145	25.271702	NODE_18_length_234705_cov_25.271702_91
_14	GH29.hmm	4.4e-81	25.271702	NODE_18_length_234705_cov_25.271702_127
_15	GH95.hmm	4.4e-259	46.247891	NODE_20_length_221337_cov_46.247891_49
_16	GH29.hmm	2.3e-101	27.553553	NODE_21_length_218768_cov_27.553553_151
_17	GH13_31.hmm	2e-144	18.794889	NODE_22_length_211917_cov_18.794889_91
_18	GH2.hmm	2.7e-221	18.794889	NODE_22_length_211917_cov_18.794889_146
_19	GH35.hmm	2.7e-120	32.485450	NODE_32_length_182503_cov_32.485450_123
_21	GH130.hmm	1.1e-89	44.981474	NODE_37_length_170396_cov_44.981474_21
_22	GH36.hmm	2.2e-193	31.258518	NODE_40_length_160467_cov_31.258518_105
_24	GH110.hmm	4.8e-197	29.069582	NODE_50_length_141525_cov_29.069582_11
_25	GH13_39.hmm	1.1e-132	4.580506	NODE_52_length_137780_cov_4.580506_58
_26	GH130.hmm	3.8e-91	20.734348	NODE_55_length_135874_cov_20.734348_44
_28	GH130.hmm	2.6e-93	11.086099	NODE_56_length_135439_cov_11.086099_47
_29	GH110.hmm	1.3e-223	22.002616	NODE_59_length_131612_cov_22.002616_28
_30	GH31.hmm	4.3e-147	22.972630	NODE_64_length_126619_cov_22.972630_5
_31	GH31.hmm	2.5e-138	22.972630	NODE_64_length_126619_cov_22.972630_52
_32	GH2.hmm	4.5e-200	4.663797	NODE_70_length_117643_cov_4.663797_68
_33	GH36.hmm	2.1e-217	24.165135	NODE_81_length_106626_cov_24.165135_92
_34	GH2.hmm	1.3e-194	8.515663	NODE_97_length_100170_cov_8.515663_25
_35	GH84.hmm	8.3e-106	8.515663	NODE_97_length_100170_cov_8.515663_26
_36	GH95.hmm	4.1e-279	2.925712	NODE_103_length_94606_cov_2.925712_4
_37	GH110.hmm	2.9e-171	15.904126	NODE_107_length_92435_cov_15.904126_31
_38	GH35.hmm	3e-121	10.930590	NODE_109_length_91854_cov_10.930590_1
_39	GH2.hmm	4.1e-215	23.950374	NODE_110_length_91458_cov_23.950374_50
_40	GH35.hmm	1.4e-118	10.575941	NODE_115_length_89500_cov_10.575941_28
_41	GH84.hmm	3.1e-106	15.492784	NODE_125_length_83795_cov_15.492784_14
