"","Season","Species","Mean","SD","SE"
"1","Summer","[Bacteroides] pectinophilus",0.00775794906260659,0.00945935040910304,0.00546135850505463
"2","Summer","[Clostridium] aminophilum",0.00891995854433116,0.00443484337577852,0.00256045801681956
"3","Summer","[Clostridium] cellulosi",0.0015246459009895,0.00264076416406543,0.0015246459009895
"4","Summer","[Clostridium] cocleatum",0.00165936545864861,0.00287410528270423,0.00165936545864861
"5","Summer","[Clostridium] dakarense",0.00165936545864861,0.00287410528270423,0.00165936545864861
"6","Summer","[Clostridium] fimetarium",0.0123318867655751,0.0172290387043576,0.00994719013383932
"7","Summer","[Clostridium] hylemonae",0.00789266862026571,0.00708982634697666,0.00409331314993468
"8","Summer","[Clostridium] innocuum",0,0,0
"9","Summer","[Clostridium] leptum",0,0,0
"10","Summer","[Clostridium] methoxybenzovorans",0.00304929180197899,0.00528152832813087,0.00304929180197899
"11","Summer","[Clostridium] methylpentosum",0.0273919511675766,0.0127087515929531,0.00733740115325556
"12","Summer","[Clostridium] polysaccharolyticum",0.0102166875837148,0.00577740347866364,0.00333558545362353
"13","Summer","[Clostridium] populeti",0.0141259717818828,0.0137396574809767,0.00793259494521513
"14","Summer","[Clostridium] saccharogumia",0,0,0
"15","Summer","[Clostridium] scindens",0.00573594718469305,0.00499716962064427,0.00288511722566519
"16","Summer","[Clostridium] spiroforme",0.0062333031616171,0.00694648809147678,0.00401055676953665
"17","Summer","[Clostridium] sporosphaeroides",0,0,0
"18","Summer","[Clostridium] symbiosum",0.00318401135963811,0.00276482952674556,0.00159627507152998
"19","Summer","[Clostridium] ultunense",0,0,0
"20","Summer","[Clostridium] viride",0.0015246459009895,0.00264076416406543,0.0015246459009895
"21","Summer","[Eubacterium] cellulosolvens",0.00318401135963811,0.00276482952674556,0.00159627507152998
"22","Summer","[Eubacterium] infirmum",0,0,0
"23","Summer","[Eubacterium] minutum",0,0,0
"24","Summer","[Eubacterium] rectale",0.0242079398079385,0.0108908276897234,0.00628782229835964
"25","Summer","[Eubacterium] siraeum",0.0062333031616171,0.00694648809147678,0.00401055676953665
"26","Summer","[Eubacterium] yurii",0,0,0
"27","Summer","[Hallella] seregens",0.00484337681828672,0.00498356214026199,0.00287726094320349
"28","Summer","[Ruminococcus] gnavus",0.044255044869381,0.0358558698621054,0.0207013961169148
