ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_49	CBM51.hmm	1.2e-22	10.991169	NODE_1_length_675108_cov_10.991169_49
_57	GH130.hmm	6.1e-92	10.991169	NODE_1_length_675108_cov_10.991169_57
_67	AA3_1.hmm	3e-08	10.991169	NODE_1_length_675108_cov_10.991169_67
_81	GT41.hmm	8.2e-48	10.991169	NODE_1_length_675108_cov_10.991169_81
_87	GH20.hmm	1.1e-118	10.991169	NODE_1_length_675108_cov_10.991169_87
_88	GH92.hmm	2.8e-175	10.991169	NODE_1_length_675108_cov_10.991169_88
_92	GH13_14.hmm	3.4e-120	10.991169	NODE_1_length_675108_cov_10.991169_92
_109	AA3_1.hmm	4.7e-07	10.991169	NODE_1_length_675108_cov_10.991169_109
_133	CE10.hmm	8.6e-17	10.991169	NODE_1_length_675108_cov_10.991169_133
_192	CBM50.hmm	3.6e-28	10.991169	NODE_1_length_675108_cov_10.991169_192
_194	GH23.hmm	1.8e-21	10.991169	NODE_1_length_675108_cov_10.991169_194
_226	GT8.hmm	2.2e-56	10.991169	NODE_1_length_675108_cov_10.991169_226
_228	GT4.hmm	3.9e-38	10.991169	NODE_1_length_675108_cov_10.991169_228
_236	GT2_Glycos_transf_2.hmm	8.2e-34	10.991169	NODE_1_length_675108_cov_10.991169_236
_253	GT83.hmm	4.7e-66	10.991169	NODE_1_length_675108_cov_10.991169_253
_264	GH13_31.hmm	2.1e-144	10.991169	NODE_1_length_675108_cov_10.991169_264
_265	GH13_5.hmm	2.2e-150	10.991169	NODE_1_length_675108_cov_10.991169_265
_266	GT51.hmm	1.2e-47	10.991169	NODE_1_length_675108_cov_10.991169_266
_287	GT41.hmm	1.4e-12	10.991169	NODE_1_length_675108_cov_10.991169_287
_289	GT41.hmm	1.2e-07	10.991169	NODE_1_length_675108_cov_10.991169_289
_295	CE2.hmm	3.9e-06	10.991169	NODE_1_length_675108_cov_10.991169_295
_314	CE3.hmm	6.4e-15	10.991169	NODE_1_length_675108_cov_10.991169_314
_315	CBM67.hmm	3.3e-08	10.991169	NODE_1_length_675108_cov_10.991169_315
_318	CE7.hmm	1.3e-09	10.991169	NODE_1_length_675108_cov_10.991169_318
_319	GH28.hmm	2e-07	10.991169	NODE_1_length_675108_cov_10.991169_319
_321	GH2.hmm	7e-222	10.991169	NODE_1_length_675108_cov_10.991169_321
_348	GH23.hmm	6.2e-26	10.991169	NODE_1_length_675108_cov_10.991169_348
_360	CBM16.hmm	4.4e-06	10.991169	NODE_1_length_675108_cov_10.991169_360
_376	GT51.hmm	5.3e-42	10.991169	NODE_1_length_675108_cov_10.991169_376
_404	CE9.hmm	1.3e-08	10.991169	NODE_1_length_675108_cov_10.991169_404
