ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_15	CBM35.hmm	8.9e-40	9.900309	NODE_1_length_1105032_cov_9.900309_15
_16	AA3_1.hmm	2e-06	9.900309	NODE_1_length_1105032_cov_9.900309_16
_85	GH29.hmm	2.2e-86	9.900309	NODE_1_length_1105032_cov_9.900309_85
_102	CE9.hmm	2.1e-17	9.900309	NODE_1_length_1105032_cov_9.900309_102
_103	GT51.hmm	4.4e-59	9.900309	NODE_1_length_1105032_cov_9.900309_103
_105	GH37.hmm	1.5e-14	9.900309	NODE_1_length_1105032_cov_9.900309_105
_126	GH25.hmm	2.2e-42	9.900309	NODE_1_length_1105032_cov_9.900309_126
_184	CE10.hmm	6.1e-34	9.900309	NODE_1_length_1105032_cov_9.900309_184
_187	GH2.hmm	1.6e-173	9.900309	NODE_1_length_1105032_cov_9.900309_187
_189	GH31.hmm	3.3e-113	9.900309	NODE_1_length_1105032_cov_9.900309_189
_190	GH110.hmm	6.3e-126	9.900309	NODE_1_length_1105032_cov_9.900309_190
_218	GT83.hmm	1.2e-08	9.900309	NODE_1_length_1105032_cov_9.900309_218
_272	CE1.hmm	2e-09	9.900309	NODE_1_length_1105032_cov_9.900309_272
_274	GH18.hmm	1.5e-24	9.900309	NODE_1_length_1105032_cov_9.900309_274
_278	GH73.hmm	7.2e-09	9.900309	NODE_1_length_1105032_cov_9.900309_278
_302	dockerin.hmm	9.6e-08	9.900309	NODE_1_length_1105032_cov_9.900309_302
_304	GH95.hmm	5e-225	9.900309	NODE_1_length_1105032_cov_9.900309_304
_307	GH109.hmm	4.4e-19	9.900309	NODE_1_length_1105032_cov_9.900309_307
_343	CE4.hmm	9.5e-30	9.900309	NODE_1_length_1105032_cov_9.900309_343
_346	GH51.hmm	1.7e-96	9.900309	NODE_1_length_1105032_cov_9.900309_346
_355	GH31.hmm	2.6e-104	9.900309	NODE_1_length_1105032_cov_9.900309_355
_356	CE10.hmm	5.3e-40	9.900309	NODE_1_length_1105032_cov_9.900309_356
_358	GH2.hmm	7.7e-174	9.900309	NODE_1_length_1105032_cov_9.900309_358
_368	GT8.hmm	4.9e-46	9.900309	NODE_1_length_1105032_cov_9.900309_368
_373	GH38.hmm	7.9e-88	9.900309	NODE_1_length_1105032_cov_9.900309_373
_390	GH27.hmm	2.1e-59	9.900309	NODE_1_length_1105032_cov_9.900309_390
_401	GT28.hmm	8.8e-48	9.900309	NODE_1_length_1105032_cov_9.900309_401
_418	AA3_1.hmm	5.3e-07	9.900309	NODE_1_length_1105032_cov_9.900309_418
_422	CE9.hmm	7.1e-14	9.900309	NODE_1_length_1105032_cov_9.900309_422
_434	GT4.hmm	1.2e-08	9.900309	NODE_1_length_1105032_cov_9.900309_434
_438	GT4.hmm	1.8e-20	9.900309	NODE_1_length_1105032_cov_9.900309_438
_440	GT2_Glycos_transf_2.hmm	1.3e-37	9.900309	NODE_1_length_1105032_cov_9.900309_440
_441	GT2_Glycos_transf_2.hmm	3.2e-39	9.900309	NODE_1_length_1105032_cov_9.900309_441
_444	GT4.hmm	3.9e-34	9.900309	NODE_1_length_1105032_cov_9.900309_444
_450	GH25.hmm	1.2e-51	9.900309	NODE_1_length_1105032_cov_9.900309_450
_492	CE4.hmm	4.8e-30	9.900309	NODE_1_length_1105032_cov_9.900309_492
_494	GT2_Glycos_transf_2.hmm	1.9e-23	9.900309	NODE_1_length_1105032_cov_9.900309_494
_508	CE3.hmm	1.4e-12	9.900309	NODE_1_length_1105032_cov_9.900309_508
