ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_61	CBM50.hmm	6.2e-32	11.098924	NODE_1_length_648625_cov_11.098924_61
_69	PL22.hmm	3.3e-19	11.098924	NODE_1_length_648625_cov_11.098924_69
_98	GT2_Glycos_transf_2.hmm	9e-34	11.098924	NODE_1_length_648625_cov_11.098924_98
_100	GT4.hmm	1.1e-18	11.098924	NODE_1_length_648625_cov_11.098924_100
_101	CE4.hmm	9.2e-24	11.098924	NODE_1_length_648625_cov_11.098924_101
_103	GT4.hmm	9.7e-19	11.098924	NODE_1_length_648625_cov_11.098924_103
_104	GT2_Glycos_transf_2.hmm	3e-27	11.098924	NODE_1_length_648625_cov_11.098924_104
_118	CBM9.hmm	9.2e-43	11.098924	NODE_1_length_648625_cov_11.098924_118
_145	GH2.hmm	4.8e-114	11.098924	NODE_1_length_648625_cov_11.098924_145
_147	GT19.hmm	6.1e-07	11.098924	NODE_1_length_648625_cov_11.098924_147
_156	GT51.hmm	1.8e-52	11.098924	NODE_1_length_648625_cov_11.098924_156
_185	CBM16.hmm	1.5e-10	11.098924	NODE_1_length_648625_cov_11.098924_185
_232	GT2_Glyco_tranf_2_3.hmm	1.5e-19	11.098924	NODE_1_length_648625_cov_11.098924_232
_233	GT2_Glycos_transf_2.hmm	1.5e-22	11.098924	NODE_1_length_648625_cov_11.098924_233
_234	GT101.hmm	6e-89	11.098924	NODE_1_length_648625_cov_11.098924_234
_235	GT4.hmm	3.3e-43	11.098924	NODE_1_length_648625_cov_11.098924_235
_237	GT2_Glycos_transf_2.hmm	2.5e-31	11.098924	NODE_1_length_648625_cov_11.098924_237
_240	GT2_Glyco_tranf_2_3.hmm	1.5e-26	11.098924	NODE_1_length_648625_cov_11.098924_240
_241	GT2_Glycos_transf_2.hmm	8.3e-21	11.098924	NODE_1_length_648625_cov_11.098924_241
_273	CE10.hmm	2.5e-37	11.098924	NODE_1_length_648625_cov_11.098924_273
_299	CE7.hmm	1.5e-08	11.098924	NODE_1_length_648625_cov_11.098924_299
_346	GH20.hmm	1.3e-104	11.098924	NODE_1_length_648625_cov_11.098924_346
_372	CE10.hmm	3.6e-23	11.098924	NODE_1_length_648625_cov_11.098924_372
_397	CE3.hmm	6.9e-17	11.098924	NODE_1_length_648625_cov_11.098924_397
