ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_8	GH13_9.hmm	2.8e-120	10.753989	NODE_1_length_549602_cov_10.753989_8
_57	CBM50.hmm	7e-11	10.753989	NODE_1_length_549602_cov_10.753989_57
_72	GH59.hmm	2.3e-161	10.753989	NODE_1_length_549602_cov_10.753989_72
_120	GT83.hmm	1.6e-06	10.753989	NODE_1_length_549602_cov_10.753989_120
_165	SLH.hmm	6.5e-09	10.753989	NODE_1_length_549602_cov_10.753989_165
_205	GH29.hmm	3.1e-117	10.753989	NODE_1_length_549602_cov_10.753989_205
_242	GH25.hmm	1.6e-41	10.753989	NODE_1_length_549602_cov_10.753989_242
_270	GH109.hmm	2.9e-09	10.753989	NODE_1_length_549602_cov_10.753989_270
_271	GH109.hmm	4e-18	10.753989	NODE_1_length_549602_cov_10.753989_271
_273	GH109.hmm	1.4e-16	10.753989	NODE_1_length_549602_cov_10.753989_273
_283	GH38.hmm	9.5e-85	10.753989	NODE_1_length_549602_cov_10.753989_283
_291	GH4.hmm	6.3e-56	10.753989	NODE_1_length_549602_cov_10.753989_291
_294	CE2.hmm	1.4e-08	10.753989	NODE_1_length_549602_cov_10.753989_294
_295	CE2.hmm	3.6e-58	10.753989	NODE_1_length_549602_cov_10.753989_295
_298	GH130.hmm	1.8e-85	10.753989	NODE_1_length_549602_cov_10.753989_298
_299	GH76.hmm	4e-11	10.753989	NODE_1_length_549602_cov_10.753989_299
_300	GH130.hmm	5.3e-93	10.753989	NODE_1_length_549602_cov_10.753989_300
_306	GH36.hmm	2.7e-260	10.753989	NODE_1_length_549602_cov_10.753989_306
_317	GH5.hmm	9.6e-10	10.753989	NODE_1_length_549602_cov_10.753989_317
_328	GH51.hmm	2e-144	10.753989	NODE_1_length_549602_cov_10.753989_328
_330	GH42.hmm	6.5e-153	10.753989	NODE_1_length_549602_cov_10.753989_330
_399	GH28.hmm	1e-69	10.753989	NODE_1_length_549602_cov_10.753989_399
_427	PL8.hmm	6.6e-87	10.753989	NODE_1_length_549602_cov_10.753989_427
_428	GH136.hmm	1.6e-122	10.753989	NODE_1_length_549602_cov_10.753989_428
_429	GH77.hmm	1.5e-172	10.753989	NODE_1_length_549602_cov_10.753989_429
_430	GH31.hmm	2.8e-130	10.753989	NODE_1_length_549602_cov_10.753989_430
_431	GH133.hmm	8.6e-119	10.753989	NODE_1_length_549602_cov_10.753989_431
_432	GH13_14.hmm	1.2e-102	10.753989	NODE_1_length_549602_cov_10.753989_432
_441	CE9.hmm	2.1e-09	10.753989	NODE_1_length_549602_cov_10.753989_441
_443	GH28.hmm	1.7e-69	10.753989	NODE_1_length_549602_cov_10.753989_443
_460	GH76.hmm	1.7e-12	10.753989	NODE_1_length_549602_cov_10.753989_460
_472	CE3.hmm	2.4e-12	31.550969	NODE_2_length_524172_cov_31.550969_12
_486	GT2_Glycos_transf_2.hmm	1.9e-23	31.550969	NODE_2_length_524172_cov_31.550969_26
