ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_8	GT41.hmm	4.1e-09	7.926567	NODE_1_length_532515_cov_7.926567_8
_26	GH3.hmm	4.9e-70	7.926567	NODE_1_length_532515_cov_7.926567_26
_27	GH28.hmm	3.7e-64	7.926567	NODE_1_length_532515_cov_7.926567_27
_28	GH36.hmm	3.1e-15	7.926567	NODE_1_length_532515_cov_7.926567_28
_29	GH28.hmm	1.1e-56	7.926567	NODE_1_length_532515_cov_7.926567_29
_30	GH146.hmm	7.6e-166	7.926567	NODE_1_length_532515_cov_7.926567_30
_35	GT41.hmm	2.4e-37	7.926567	NODE_1_length_532515_cov_7.926567_35
_54	GT2_Glycos_transf_2.hmm	5.7e-33	7.926567	NODE_1_length_532515_cov_7.926567_54
_62	GT41.hmm	1.7e-08	7.926567	NODE_1_length_532515_cov_7.926567_62
_66	GH23.hmm	4.3e-22	7.926567	NODE_1_length_532515_cov_7.926567_66
_69	GH13_19.hmm	1.4e-108	7.926567	NODE_1_length_532515_cov_7.926567_69
_72	GH35.hmm	6.8e-118	7.926567	NODE_1_length_532515_cov_7.926567_72
_85	CE1.hmm	4.8e-56	7.926567	NODE_1_length_532515_cov_7.926567_85
_88	GH13_37.hmm	1.9e-95	7.926567	NODE_1_length_532515_cov_7.926567_88
_124	GT41.hmm	1.9e-20	7.926567	NODE_1_length_532515_cov_7.926567_124
_127	GT2_Glycos_transf_2.hmm	4.9e-34	7.926567	NODE_1_length_532515_cov_7.926567_127
_158	GH2.hmm	2e-124	7.926567	NODE_1_length_532515_cov_7.926567_158
_183	GH77.hmm	1.3e-150	7.926567	NODE_1_length_532515_cov_7.926567_183
_199	GH130.hmm	1e-88	7.926567	NODE_1_length_532515_cov_7.926567_199
_204	CBM40.hmm	5.7e-07	7.926567	NODE_1_length_532515_cov_7.926567_204
_213	GT41.hmm	5.1e-14	7.926567	NODE_1_length_532515_cov_7.926567_213
_221	GT4.hmm	9.7e-22	7.926567	NODE_1_length_532515_cov_7.926567_221
_224	GT9.hmm	3.1e-28	7.926567	NODE_1_length_532515_cov_7.926567_224
_229	GH13.hmm	2e-48	7.926567	NODE_1_length_532515_cov_7.926567_229
_231	GH133.hmm	1.2e-78	7.926567	NODE_1_length_532515_cov_7.926567_231
_232	GT4.hmm	1.2e-37	7.926567	NODE_1_length_532515_cov_7.926567_232
_233	GH57.hmm	2.6e-63	7.926567	NODE_1_length_532515_cov_7.926567_233
_297	GT41.hmm	4.5e-07	7.926567	NODE_1_length_532515_cov_7.926567_297
_307	GT4.hmm	2.5e-26	7.926567	NODE_1_length_532515_cov_7.926567_307
_308	GT2_Glycos_transf_2.hmm	5.6e-20	7.926567	NODE_1_length_532515_cov_7.926567_308
_328	AA3_1.hmm	6.9e-06	7.926567	NODE_1_length_532515_cov_7.926567_328
_337	GT41.hmm	2.3e-06	7.926567	NODE_1_length_532515_cov_7.926567_337
_349	GH13_28.hmm	3.1e-96	7.926567	NODE_1_length_532515_cov_7.926567_349
_361	GH115.hmm	8.6e-268	7.926567	NODE_1_length_532515_cov_7.926567_361
_395	CBM50.hmm	4.7e-12	7.926567	NODE_1_length_532515_cov_7.926567_395
_401	GT35.hmm	1.3e-128	7.926567	NODE_1_length_532515_cov_7.926567_401
_402	GT3.hmm	4.1e-172	7.926567	NODE_1_length_532515_cov_7.926567_402
_416	GT11.hmm	1.7e-30	7.926567	NODE_1_length_532515_cov_7.926567_416
_427	CBM69.hmm	2.5e-11	7.926567	NODE_1_length_532515_cov_7.926567_427
_428	GH2.hmm	1.6e-119	7.926567	NODE_1_length_532515_cov_7.926567_428
_429	GH30_4.hmm	1e-153	7.926567	NODE_1_length_532515_cov_7.926567_429
_465	GH92.hmm	5.2e-181	14.848906	NODE_2_length_423686_cov_14.848906_24
_481	GH2.hmm	3.1e-200	14.848906	NODE_2_length_423686_cov_14.848906_40
_514	CE4.hmm	3.8e-24	14.848906	NODE_2_length_423686_cov_14.848906_73
_533	CBM32.hmm	1.2e-12	14.848906	NODE_2_length_423686_cov_14.848906_92
_535	GH18.hmm	2.8e-15	14.848906	NODE_2_length_423686_cov_14.848906_94
_539	GT2_Glycos_transf_2.hmm	9.4e-19	14.848906	NODE_2_length_423686_cov_14.848906_98
_542	AA3_1.hmm	6.4e-06	14.848906	NODE_2_length_423686_cov_14.848906_101
_549	GT41.hmm	8.9e-08	14.848906	NODE_2_length_423686_cov_14.848906_108
_559	GH163.hmm	2.3e-63	14.848906	NODE_2_length_423686_cov_14.848906_118
