"","Season","Species","Mean","SD","SE"
"1","Summer","[Clostridium] cocleatum",0,0,0
"2","Summer","[Clostridium] hylemonae",0.0784313725490196,0.135847122162265,0.0784313725490196
"3","Summer","[Clostridium] populeti",0.0764525993883792,0.132419786511382,0.0764525993883792
"4","Summer","[Clostridium] spiroforme",0,0,0
"5","Summer","[Eubacterium] cellulosolvens",0,0,0
"6","Summer","[Eubacterium] rectale",0.0764525993883792,0.132419786511382,0.0764525993883792
"7","Summer","[Eubacterium] siraeum",0,0,0
"8","Summer","[Ruminococcus] gnavus",0.39078087375301,0.357619512572178,0.20647172185101
"9","Summer","Absiella sp. 9CBEGH2",0,0,0
"10","Summer","Acetatifactor muris",0.152905198776758,0.264839573022764,0.152905198776758
"11","Summer","Acidiphilium sp. CAG:727",0.116959064327485,0.202579041820921,0.116959064327485
"12","Summer","Acidobacterium ailaaui",0,0,0
"13","Summer","Acutalibacter muris",0,0,0
"14","Summer","Acutalibacter sp. 1XD8-33",0,0,0
"15","Summer","Agrobacterium vitis",0,0,0
"16","Summer","Akkermansia muciniphila",0.543686072529768,0.13701982948889,0.0791084354397275
"17","Summer","Alicyclobacillus shizuokensis",0,0,0
"18","Summer","Alistipes communis",0.0784313725490196,0.135847122162265,0.0784313725490196
"19","Summer","Alistipes dispar",0.0784313725490196,0.135847122162265,0.0784313725490196
"20","Summer","Alistipes megaguti",0,0,0
"21","Summer","Alistipes onderdonkii",0,0,0
"22","Summer","Alistipes senegalensis",0.350274408813904,0.120616348232423,0.0696378811206589
"23","Summer","Alistipes sp. An54",0.0764525993883792,0.132419786511382,0.0764525993883792
"24","Summer","Alistipes sp. An66",0.311746717035438,0.360081136013685,0.207892940807607
"25","Summer","Alistipes sp. CAG:268",0.195390436876505,0.178809756286089,0.103235860925505
"26","Summer","Alistipes sp. CHKCI003",0.154883971937399,0.134166290641787,0.0774609440182095
"27","Summer","Alistipes sp. Z76",0.154883971937399,0.134166290641787,0.0774609440182095
"28","Summer","Alistipes timonensis",0.0764525993883792,0.132419786511382,0.0764525993883792
"29","Summer","Alloprevotella sp.",0.0764525993883792,0.132419786511382,0.0764525993883792
"30","Summer","Alphaproteobacteria bacterium HGW-Alphaproteobacteria-15",0,0,0
"31","Summer","Amphibacillus sediminis",0.0764525993883792,0.132419786511382,0.0764525993883792
"32","Summer","Amphiplicatus metriothermophilus",0.0764525993883792,0.132419786511382,0.0764525993883792
"33","Summer","Anaerobium acetethylicum",0.0764525993883792,0.132419786511382,0.0764525993883792
"34","Summer","Anaerocolumna aminovalerica",0.116959064327485,0.202579041820921,0.116959064327485
"35","Summer","Anaerocolumna jejuensis",0,0,0
"36","Summer","Anaerocolumna sp. CBA3638",0.0764525993883792,0.132419786511382,0.0764525993883792
"37","Summer","Anaerocolumna xylanovorans",0,0,0
"38","Summer","Anaerolinea thermolimosa",0,0,0
"39","Summer","Anaeromassilibacillus sp. An172",0.0764525993883792,0.132419786511382,0.0764525993883792
"40","Summer","Anaeromassilibacillus sp. An200",0.154883971937399,0.134166290641787,0.0774609440182095
"41","Summer","Anaerosacchriphilus polymeriproducens",0,0,0
"42","Summer","Anaerosporobacter mobilis",0.154883971937399,0.134166290641787,0.0774609440182095
"43","Summer","Anaerostipes hadrus",0,0,0
"44","Summer","Anaerotruncus sp. CAG:390",0,0,0
"45","Summer","Armatimonadetes bacterium CG06_land_8_20_14_3_00_66_21",0.0764525993883792,0.132419786511382,0.0764525993883792
"46","Summer","Aspergillus calidoustus",0.0764525993883792,0.132419786511382,0.0764525993883792
"47","Summer","Bacillus acidicola",0.116959064327485,0.202579041820921,0.116959064327485
"48","Summer","Bacillus akibai",0.193411663715865,0.17817910813335,0.102871756044757
"49","Summer","Bacillus endophyticus",0.0764525993883792,0.132419786511382,0.0764525993883792
"50","Summer","Bacillus sp. FJAT-45086",0,0,0
"51","Summer","Bacillus sp. MB2021",0.0764525993883792,0.132419786511382,0.0764525993883792
"52","Summer","Bacillus sp. P16(2019)",0,0,0
"53","Summer","bacterium 0.1xD8-71",0,0,0
"54","Summer","bacterium 0.1xD8-82",0.154883971937399,0.134166290641787,0.0774609440182095
"55","Summer","bacterium 1XD21-13",0,0,0
"56","Summer","bacterium 1XD42-54",0,0,0
"57","Summer","bacterium 1xD42-62",0.0784313725490196,0.135847122162265,0.0784313725490196
"58","Summer","bacterium 1xD42-87",0,0,0
"59","Summer","bacterium 1XD8-76",0,0,0
"60","Summer","bacterium 1XD8-92",0.0784313725490196,0.135847122162265,0.0784313725490196
"61","Summer","bacterium D16-29",0,0,0
"62","Summer","bacterium D16-50",0.0764525993883792,0.132419786511382,0.0764525993883792
"63","Summer","Bacteroidales bacterium",0.622117445078788,0.141525203263105,0.0817096142010701
