"","Season","Species","Mean","SD","SE"
"1","Summer","[Clostridium] cocleatum",0,0,0
"2","Summer","[Clostridium] populeti",0.387596899224806,0.671337522313518,0.387596899224806
"3","Summer","Agrobacterium vitis",0,0,0
"4","Summer","Alistipes communis",0,0,0
"5","Summer","Alistipes dispar",0.350877192982456,0.607737125462764,0.350877192982456
"6","Summer","Alistipes megaguti",0,0,0
"7","Summer","Alistipes onderdonkii",0,0,0
"8","Summer","Alistipes senegalensis",0.350877192982456,0.607737125462764,0.350877192982456
"9","Summer","Alistipes sp. An66",0.701754385964912,1.21547425092553,0.701754385964912
"10","Summer","Alistipes timonensis",0.387596899224806,0.671337522313518,0.387596899224806
"11","Summer","Amphibacillus sediminis",0.387596899224806,0.671337522313518,0.387596899224806
"12","Summer","Anaerobium acetethylicum",0,0,0
"13","Summer","Anaerocolumna xylanovorans",0,0,0
"14","Summer","Anaerosporobacter mobilis",0,0,0
"15","Summer","Anaerostipes hadrus",0,0,0
"16","Summer","bacterium 0.1xD8-71",0,0,0
"17","Summer","bacterium 1xD42-62",0,0,0
"18","Summer","bacterium 1xD42-87",0,0,0
"19","Summer","bacterium 1XD8-92",0.350877192982456,0.607737125462764,0.350877192982456
"20","Summer","bacterium D16-29",0,0,0
"21","Summer","Bacteroidales bacterium",1.81374290941156,1.22412268309607,0.706747560606644
"22","Summer","Bacteroides bouchesdurhonensis",0,0,0
"23","Summer","Bacteroides congonensis",0.888511601584607,0.818880778368487,0.472781037825256
"24","Summer","Bacteroides coprosuis",0,0,0
"25","Summer","Bacteroides dorei",0.387596899224806,0.671337522313518,0.387596899224806
"26","Summer","Bacteroides fluxus",0.537634408602151,0.931210111596171,0.537634408602151
"27","Summer","Bacteroides fragilis",2.55221700161883,0.59365570139283,0.342747279005107
"28","Summer","Bacteroides gallinarum",0.738474092207262,0.641904779936779,0.370603897490607
"29","Summer","Bacteroides helcogenes",0.387596899224806,0.671337522313518,0.387596899224806
"30","Summer","Bacteroides heparinolyticus",0.387596899224806,0.671337522313518,0.387596899224806
"31","Summer","Bacteroides neonati",0,0,0
"32","Summer","Bacteroides nordii",0.387596899224806,0.671337522313518,0.387596899224806
"33","Summer","Bacteroides sartorii",0.350877192982456,0.607737125462764,0.350877192982456
