ORF,predicted_protein,Full_Seq_E-value,Coverage,Location
_58,GT41.hmm,1.90E-07,,contig-125_0_58
_60,GT41.hmm,2.60E-09,,contig-125_0_60
_66,GH105.hmm,1.30E-114,,contig-125_0_66
_67,CE8.hmm,7.60E-104,,contig-125_0_67
_68,GT2.hmm,7.20E-12,,contig-125_0_68
_84,GT2.hmm,2.20E-20,,contig-125_0_84
_90,GH29.hmm,1.90E-50,,contig-125_0_90
_91,GH29.hmm,1.60E-37,,contig-125_0_91
_93,PL9.hmm,2.10E-108,,contig-125_0_93
_94,AA6.hmm,1.40E-09,,contig-125_0_94
_108,GH5_21.hmm,4.00E-82,,contig-125_0_108
_113,CE11.hmm,8.80E-93,,contig-125_0_113
_125,GH28.hmm,1.10E-84,,contig-125_0_125
_152,CE7.hmm,8.40E-10,,contig-125_0_152
_153,CE1.hmm,3.00E-17,,contig-125_0_153
_166,GT2.hmm,4.90E-13,,contig-125_0_166
_167,GT26.hmm,1.00E-53,,contig-125_0_167
_172,CE12.hmm,1.20E-13,,contig-125_0_172
_179,GT41.hmm,3.00E-09,,contig-125_0_179
_187,GH35.hmm,8.10E-117,,contig-125_0_187
_188,GH95.hmm,2.60E-264,,contig-125_0_188
_189,GH43_10.hmm,4.60E-82,,contig-125_0_189
_212,GH51.hmm,3.70E-100,,contig-125_0_212
_214,GH13_8.hmm,2.80E-114,,contig-125_0_214
_216,CBM50.hmm,2.00E-14,,contig-125_0_216
_229,GH23.hmm,6.70E-26,,contig-125_0_229
_232,CBM50.hmm,2.50E-08,,contig-125_0_232
_243,GT102.hmm,1.00E-06,,contig-125_0_243
_244,GT2.hmm,7.20E-26,,contig-125_0_244
_263,GT83.hmm,3.70E-58,,contig-125_0_263
_264,GT2.hmm,4.90E-20,,contig-125_0_264
_289,CE10.hmm,2.10E-28,,contig-125_0_289
_290,AA6.hmm,2.00E-06,,contig-125_0_290
_299,GH28.hmm,2.60E-81,,contig-125_0_299
_321,CE7.hmm,1.50E-08,,contig-125_0_321
_324,GH106.hmm,2.10E-271,,contig-125_0_324
_325,GH105.hmm,3.10E-87,,contig-125_0_325
_334,GT9.hmm,4.50E-43,,contig-125_0_334
_394,AA6.hmm,4.40E-11,,contig-125_0_394
_402,GH2.hmm,1.50E-124,,contig-125_0_402
_414,GT41.hmm,3.40E-13,,contig-125_0_414
_419,GT2.hmm,9.30E-24,,contig-125_0_419
_426,PL1_2.hmm,6.30E-69,,contig-125_0_426
_439,GT41.hmm,4.50E-36,,contig-125_0_439
_445,GH23.hmm,1.50E-21,,contig-125_0_445
_449,GT27.hmm,6.40E-19,,contig-125_0_449
_465,GT41.hmm,2.30E-20,,contig-125_0_465
_473,GT2.hmm,4.00E-18,,contig-125_0_473
_478,GT4.hmm,2.10E-22,,contig-125_0_478
_479,GT4.hmm,1.00E-18,,contig-125_0_479
_483,GH109.hmm,5.00E-13,,contig-125_0_483
_485,GH88.hmm,1.50E-17,,contig-125_0_485
_486,GT2.hmm,4.90E-25,,contig-125_0_486
_487,GT2.hmm,6.60E-36,,contig-125_0_487
_490,GH4.hmm,3.90E-07,,contig-125_0_490
_508,AA6.hmm,9.50E-09,,contig-125_1_12
_515,GH109.hmm,6.00E-16,,contig-125_1_19
_517,GH140.hmm,3.60E-121,,contig-125_1_21
_533,GH51.hmm,5.90E-99,,contig-125_1_37
_536,GH55.hmm,6.30E-97,,contig-125_1_40
_537,GH94.hmm,3.00E-167,,contig-125_1_41
_538,GH94.hmm,1.20E-10,,contig-125_1_42
_539,GH30_1.hmm,6.50E-174,,contig-125_1_43
_552,GT2.hmm,4.60E-13,,contig-125_1_56
_555,CBM50.hmm,1.20E-06,,contig-125_1_59
_579,GT41.hmm,3.20E-06,,contig-125_1_83
_609,GH18.hmm,2.60E-40,,contig-125_1_113
_620,GH13_20.hmm,8.60E-66,,contig-125_1_124
_631,GT41.hmm,2.60E-15,,contig-125_1_135
_643,GH9.hmm,2.40E-103,,contig-125_1_147
_645,GT89.hmm,1.60E-47,,contig-125_1_149
_646,AA3_2.hmm,1.20E-06,,contig-125_1_150
_712,CE4.hmm,1.90E-34,,contig-125_1_216
_748,GH127.hmm,8.50E-217,,contig-125_1_252
_759,GH24.hmm,4.90E-08,,contig-125_1_263
_762,GH27.hmm,9.90E-41,,contig-125_1_266
_797,CE10.hmm,8.60E-47,,contig-125_1_301
_808,GH109.hmm,8.00E-08,,contig-125_1_312
_861,GT5.hmm,6.20E-183,,contig-125_2_44
_871,GH25.hmm,1.20E-41,,contig-125_2_54
_897,CE9.hmm,2.40E-123,,contig-125_2_80
_904,GH94.hmm,4.10E-262,,contig-125_2_87
