ORF,predicted_protein,Full_Seq_E-value,Coverage,Location
_4,GH105.hmm,1.30E-114,,contig-125_0_4
_5,CE8.hmm,3.20E-104,,contig-125_0_5
_6,GT2.hmm,6.30E-12,,contig-125_0_6
_22,GT2.hmm,2.20E-20,,contig-125_0_22
_28,GH29.hmm,1.60E-101,,contig-125_0_28
_31,PL9.hmm,3.10E-108,,contig-125_0_31
_32,AA6.hmm,1.90E-09,,contig-125_0_32
_46,GH5_21.hmm,1.40E-81,,contig-125_0_46
_53,CE11.hmm,5.70E-93,,contig-125_0_53
_65,GH28.hmm,8.60E-87,,contig-125_0_65
_92,CE7.hmm,8.40E-10,,contig-125_0_92
_93,CE1.hmm,3.00E-17,,contig-125_0_93
_106,GT2.hmm,3.50E-13,,contig-125_0_106
_107,GT26.hmm,1.00E-53,,contig-125_0_107
_112,CE12.hmm,1.20E-13,,contig-125_0_112
_119,GT41.hmm,4.40E-09,,contig-125_0_119
_128,GH35.hmm,8.10E-117,,contig-125_0_128
_129,GH95.hmm,5.80E-264,,contig-125_0_129
_130,GH43_10.hmm,7.60E-82,,contig-125_0_130
_152,GH51.hmm,3.70E-100,,contig-125_0_152
_154,GH13_8.hmm,2.80E-114,,contig-125_0_154
_156,CBM50.hmm,2.00E-14,,contig-125_0_156
_169,GH23.hmm,6.70E-26,,contig-125_0_169
_172,CBM50.hmm,2.60E-08,,contig-125_0_172
_183,GT102.hmm,1.10E-06,,contig-125_0_183
_184,GT2.hmm,2.00E-26,,contig-125_0_184
_203,GT83.hmm,5.50E-59,,contig-125_0_203
_204,GT2.hmm,2.70E-20,,contig-125_0_204
_229,CE10.hmm,2.30E-28,,contig-125_0_229
_230,AA6.hmm,2.00E-06,,contig-125_0_230
_238,GH28.hmm,3.00E-81,,contig-125_0_238
_260,CE7.hmm,1.50E-08,,contig-125_0_260
_263,GH106.hmm,5.00E-271,,contig-125_0_263
_264,GH105.hmm,4.10E-87,,contig-125_0_264
_273,GT9.hmm,5.60E-43,,contig-125_0_273
_333,AA6.hmm,4.40E-11,,contig-125_0_333
_341,GH2.hmm,1.60E-124,,contig-125_0_341
_353,GT41.hmm,2.80E-13,,contig-125_0_353
_358,GT2.hmm,9.30E-24,,contig-125_0_358
_365,PL1_2.hmm,6.30E-69,,contig-125_0_365
_378,GT41.hmm,1.10E-36,,contig-125_0_378
_384,GH23.hmm,1.40E-21,,contig-125_0_384
_388,GT27.hmm,6.40E-19,,contig-125_0_388
_404,GT41.hmm,1.50E-20,,contig-125_0_404
_412,GT2.hmm,1.60E-17,,contig-125_0_412
_415,GT4.hmm,8.70E-21,,contig-125_0_415
_416,GT4.hmm,2.50E-24,,contig-125_0_416
_418,GT4.hmm,1.90E-09,,contig-125_0_418
_420,GT4.hmm,1.20E-31,,contig-125_0_420
_423,GH109.hmm,1.70E-14,,contig-125_0_423
_494,GT41.hmm,7.50E-16,,contig-125_1_63
_503,GT4.hmm,7.10E-14,,contig-125_1_72
_504,GT4.hmm,4.90E-34,,contig-125_1_73
_505,GT2.hmm,1.80E-21,,contig-125_1_74
_506,GT2.hmm,4.00E-24,,contig-125_1_75
