"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","Summer_Winter",0.0414794402123252,"ko00230",0.827259346562712,0.827259346562712,"NA","0.0417021753856801","0.00154242862966101","0.0438743223019537","0.000433338138660096"
"2","Summer_Winter",0.0354093504019548,"ko00240",0.512690760261924,0.701026141582631,"NA","0.0340881689712891","0.00168325288871421","0.036422320066117","0.000931795700331753"
"3","Summer_Winter",0.03372928418889,"ko02020",0.827259346562712,0.827259346562712,"NA","0.0309060590457655","0.00259492440759864","0.0317666119579924","0.00253579613894738"
"4","Summer_Winter",0.033436773738093,"ko02010",0.827259346562712,0.827259346562712,"NA","0.0276981380239937","0.00367917501703821","0.0280039008138393","0.00171115249719204"
"5","Summer_Winter",0.030602881269565,"ko03010",0.827259346562712,0.827259346562712,"NA","0.0339733100111934","0.0026045336238208","0.0348661336646178","0.0025521933772771"
"6","Summer_Winter",0.027921214513889,"ko00970",0.512690760261924,0.701026141582631,"NA","0.0252515133100546","0.00138033169177816","0.0278197261205387","0.00153411749593573"
"7","Summer_Winter",0.027259492230142,"ko00520",0.827259346562712,0.827259346562712,"NA","0.0290431862243156","0.000906682542489482","0.0302375758804458","0.000540296521215803"
"8","Summer_Winter",0.020830640889499,"ko00010",0.827259346562712,0.827259346562712,"NA","0.0239233623247551","7.48226336949591e-05","0.0240943205967754","0.00068827499707294"
"9","Summer_Winter",0.020802596996176,"ko00500",0.827259346562712,0.827259346562712,"NA","0.0208388176558401","0.00124623060458587","0.0189238393813056","0.0015757802246511"
"10","Summer_Winter",0.020338141533186,"ko00250",0.827259346562712,0.827259346562712,"NA","0.020079609398927","0.00108538075967252","0.019928100917732","0.00121634680196246"
"11","Summer_Winter",0.020304323791883,"ko02024",0.827259346562712,0.827259346562712,"NA","0.0201664431694654","0.00109615970266786","0.0208945093311898","0.000936151125318965"
"12","Summer_Winter",0.018767551488417,"ko00620",0.827259346562712,0.827259346562712,"NA","0.0194046133469038","0.00043873385081327","0.0205865420531075","0.000496867195009293"
"13","Summer_Winter",0.017972141409724,"ko03440",0.512690760261924,0.701026141582631,"NA","0.01585511999397","0.00152813330557619","0.0172496577399294","0.00078397350659055"
"14","Summer_Winter",0.016871107668838,"ko00550",0.827259346562712,0.827259346562712,"NA","0.0143893720728245","0.00197314905550954","0.0152433473593577","0.0004427363068466"
"15","Summer_Winter",0.016620723865115,"ko00720",0.827259346562712,0.827259346562712,"NA","0.0168993854375495","0.000346408157309871","0.0181847461886784","0.000585447960765504"
"16","Summer_Winter",0.015709720434484,"ko00270",0.827259346562712,0.827259346562712,"NA","0.0163639603664743","0.00067108773225335","0.0165919492715175","0.00051101359006974"
"17","Summer_Winter",0.015268650321061,"ko03430",0.512690760261924,0.701026141582631,"NA","0.0150251439866844","0.000938938368738238","0.0157972287535199","0.000710450208589929"
"18","Summer_Winter",0.013825931743302,"ko00260",0.827259346562712,0.827259346562712,"NA","0.0155170121868002","0.000490699671691681","0.0162165904579683","0.000383062263156745"
"19","Summer_Winter",0.013408284411207,"ko03030",0.512690760261924,0.701026141582631,"NA","0.0123308718247593","0.00107136030012153","0.0134433917955803","0.000909964632976786"
