"","fast.cog","V2"
"1","COG0004","Ammonia permease"
"2","COG0028","Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]"
"3","COG0246","Mannitol-1-phosphate/altronate dehydrogenases"
"4","COG0372","Citrate synthase"
"5","COG0395","ABC-type sugar transport system, permease component"
"6","COG0407","Uroporphyrinogen-III decarboxylase"
"7","COG0448","ADP-glucose pyrophosphorylase"
"8","COG0456","Acetyltransferases"
"9","COG0554","Glycerol kinase"
"10","COG0561","Predicted hydrolases of the HAD superfamily"
"11","COG0675","Transposase and inactivated derivatives"
"12","COG0722","3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase"
"13","COG0745","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"14","COG0855","Polyphosphate kinase"
"15","COG1026","Predicted Zn-dependent peptidases, insulinase-like"
"16","COG1061","DNA or RNA helicases of superfamily II"
"17","COG1070","Sugar (pentulose and hexulose) kinases"
"18","COG1104","Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes"
"19","COG1105","Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB)"
"20","COG1131","ABC-type multidrug transport system, ATPase component"
"21","COG1132","ABC-type multidrug transport system, ATPase and permease components"
"22","COG1134","ABC-type polysaccharide/polyol phosphate transport system, ATPase component"
"23","COG1136","ABC-type antimicrobial peptide transport system, ATPase component"
"24","COG1175","ABC-type sugar transport systems, permease components"
"25","COG1302","Uncharacterized protein conserved in bacteria"
"26","COG1307","Uncharacterized protein conserved in bacteria"
"27","COG1349","Transcriptional regulators of sugar metabolism"
"28","COG1461","Predicted kinase related to dihydroxyacetone kinase"
"29","COG1472","Beta-glucosidase-related glycosidases"
"30","COG1511","Predicted membrane protein"
"31","COG1609","Transcriptional regulators"
"32","COG1621","Beta-fructosidases (levanase/invertase)"
"33","COG1653","ABC-type sugar transport system, periplasmic component"
"34","COG1662","Transposase and inactivated derivatives, IS1 family"
"35","COG1686","D-alanyl-D-alanine carboxypeptidase"
"36","COG1874","Beta-galactosidase"
"37","COG1882","Pyruvate-formate lyase"
"38","COG1925","Phosphotransferase system, HPr-related proteins"
"39","COG2182","Maltose-binding periplasmic proteins/domains"
"40","COG2190","Phosphotransferase system IIA components"
"41","COG2199","FOG: GGDEF domain"
"42","COG2200","FOG: EAL domain"
"43","COG2207","AraC-type DNA-binding domain-containing proteins"
"44","COG2252","Permeases"
"45","COG2357","Uncharacterized protein conserved in bacteria"
"46","COG2407","L-fucose isomerase and related proteins"
"47","COG2508","Regulator of polyketide synthase expression"
"48","COG2730","Endoglucanase"
"49","COG2972","Predicted signal transduction protein with a C-terminal ATPase domain"
"50","COG3044","Predicted ATPase of the ABC class"
"51","COG3279","Response regulator of the LytR/AlgR family"
"52","COG3331","Penicillin-binding protein-related factor A, putative recombinase"
"53","COG3345","Alpha-galactosidase"
"54","COG3437","Response regulator containing a CheY-like receiver domain and an HD-GYP domain"
"55","COG3459","Cellobiose phosphorylase"
"56","COG3481","Predicted HD-superfamily hydrolase"
"57","COG3507","Beta-xylosidase"
"58","COG3534","Alpha-L-arabinofuranosidase"
"59","COG3635","Predicted phosphoglycerate mutase, AP superfamily"
"60","COG3664","Beta-xylosidase"
"61","COG3693","Beta-1,4-xylanase"
"62","COG3757","Lyzozyme M1 (1,4-beta-N-acetylmuramidase)"
"63","COG3835","Sugar diacid utilization regulator"
"64","COG3857","ATP-dependent nuclease, subunit B"
"65","COG3887","Predicted signaling protein consisting of a modified GGDEF domain and a DHH domain"
"66","COG3894","Uncharacterized metal-binding protein"
"67","COG3940","Predicted beta-xylosidase"
"68","COG3958","Transketolase, C-terminal subunit"
"69","COG3959","Transketolase, N-terminal subunit"
"70","COG4166","ABC-type oligopeptide transport system, periplasmic component"
"71","COG4189","Predicted transcriptional regulator"
"72","COG4209","ABC-type polysaccharide transport system, permease component"
"73","COG4284","UDP-glucose pyrophosphorylase"
"74","COG4465","Pleiotropic transcriptional repressor"
"75","COG4468","Galactose-1-phosphate uridyltransferase"
"76","COG4485","Predicted membrane protein"
"77","COG4509","Uncharacterized protein conserved in bacteria"
"78","COG4626","Phage terminase-like protein, large subunit"
"79","COG4709","Predicted membrane protein"
"80","COG4753","Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain"
"81","COG4805","Uncharacterized protein conserved in bacteria"
"82","COG4870","Cysteine protease"
"83","COG5578","Predicted integral membrane protein"
