"","hib.cog","V2"
"1","COG0156","7-keto-8-aminopelargonate synthetase and related enzymes"
"2","COG0457","FOG: TPR repeat"
"3","COG0612","Predicted Zn-dependent peptidases"
"4","COG0760","Parvulin-like peptidyl-prolyl isomerase"
"5","COG0767","ABC-type transport system involved in resistance to organic solvents, permease component"
"6","COG0795","Predicted permeases"
"7","COG0810","Periplasmic protein TonB, links inner and outer membranes"
"8","COG0811","Biopolymer transport proteins"
"9","COG0841","Cation/multidrug efflux pump"
"10","COG0845","Membrane-fusion protein"
"11","COG0848","Biopolymer transport protein"
"12","COG1043","Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase"
"13","COG1409","Predicted phosphohydrolases"
"14","COG1452","Organic solvent tolerance protein OstA"
"15","COG1463","ABC-type transport system involved in resistance to organic solvents, periplasmic component"
"16","COG1538","Outer membrane protein"
"17","COG1596","Periplasmic protein involved in polysaccharide export"
"18","COG1629","Outer membrane receptor proteins, mostly Fe transport"
"19","COG1663","Tetraacyldisaccharide-1-P 4'-kinase"
"20","COG2885","Outer membrane protein and related peptidoglycan-associated (lipo)proteins"
"21","COG2982","Uncharacterized protein involved in outer membrane biogenesis"
"22","COG3176","Putative hemolysin"
"23","COG3203","Outer membrane protein (porin)"
"24","COG3468","Type V secretory pathway, adhesin AidA"
"25","COG3525","N-acetyl-beta-hexosaminidase"
"26","COG3637","Opacity protein and related surface antigens"
"27","COG3712","Fe2+-dicitrate sensor, membrane component"
"28","COG4566","Response regulator"
"29","COG4775","Outer membrane protein/protective antigen OMA87"
"30","COG4783","Putative Zn-dependent protease, contains TPR repeats"
