-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                         Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  3717.job2.output.41      p__Bacteroidetes (UID2605)         350         314           208         1    311    2    0    0    0       99.52            0.96               0.00          
  3717.job2.output.60      o__Bacteroidales (UID2621)         198         427           260         2    423    2    0    0    0       99.42            0.51               0.00          
  3717.job2.output.83      o__Bacteroidales (UID2617)         213         406           265         3    403    0    0    0    0       99.06            0.00               0.00          
  3717.job2.output.67      p__Bacteroidetes (UID2605)         350         314           208         4    306    4    0    0    0       99.01            1.92              25.00          
  3717.job2.output.4         k__Bacteria (UID2329)            174         149            89         1    148    0    0    0    0       98.88            0.00               0.00          
  3717.job2.output.6     f__Mycoplasmataceae (UID2414)         89         228           130         2    225    1    0    0    0       98.85            0.38               0.00          
  3717.job2.output.57         k__Bacteria (UID203)            5449        104            58         2     85    17   0    0    0       98.28            6.90              11.76          
  3717.job2.output.79      o__Clostridiales (UID1212)         172         263           149         3    260    0    0    0    0       97.99            0.00               0.00          
  3717.job2.output.18        k__Bacteria (UID2982)             88         229           147         3    226    0    0    0    0       97.96            0.00               0.00          
  3717.job2.output.38      o__Bacteroidales (UID2716)          92         487           270         9    477    1    0    0    0       97.65            0.19               0.00          
  3717.job2.output.2       o__Bacteroidales (UID2617)         213         406           265         7    399    0    0    0    0       97.36            0.00               0.00          
  3717.job2.output.31     f__Lachnospiraceae (UID1255)         90         354           174         9    342    3    0    0    0       97.12            1.05               0.00          
  3717.job2.output.47      o__Bacteroidales (UID2617)         213         406           265         28   375    3    0    0    0       96.98            1.13               0.00          
  3717.job2.output.51         k__Bacteria (UID203)            5449        103            58         9     38    55   1    0    0       96.93           55.64              12.07          
  3717.job2.output.42     f__Lachnospiraceae (UID1286)         57         420           207         19   379    20   1    1    0       96.62            7.65               3.45          
  3717.job2.output.28      o__Bacteroidales (UID2617)         213         406           265         15   391    0    0    0    0       96.04            0.00               0.00          
  3717.job2.output.10      o__Bacteroidales (UID2617)         213         406           265         34   359    13   0    0    0       95.97            3.52              15.38          
  3717.job2.output.76     f__Lachnospiraceae (UID1286)         57         420           207         18   392    10   0    0    0       95.81            3.70              10.00          
