------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                       Marker lineage          # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  3775.job3.output.33       k__Bacteria (UID203)          5449        103            57         0     4    19   36   29   15      100.00          251.02              2.22          
  3775.job3.output.44    o__Clostridiales (UID1226)       155         278           158         2    273   3    0    0    0       98.73            1.58               0.00          
  3775.job3.output.24    o__Clostridiales (UID1212)       172         263           149         3    259   1    0    0    0       97.99            0.67               0.00          
  3775.job3.output.48    o__Clostridiales (UID1212)       172         263           149         4    249   9    1    0    0       97.65            2.99              25.00          
  3775.job3.output.22       k__Bacteria (UID203)          5449        104            58         2     27   25   19   22   9       97.41           225.27             32.36          
  3775.job3.output.13    o__Bacteroidales (UID2657)       160         492           269         14   475   3    0    0    0       97.40            0.87               0.00          
  3775.job3.output.2       k__Bacteria (UID2982)           88         229           147         4    225   0    0    0    0       97.28            0.00               0.00          
  3775.job3.output.30    p__Bacteroidetes (UID2605)       350         314           208         8    306   0    0    0    0       96.96            0.00               0.00          
  3775.job3.output.15    o__Bacteroidales (UID2657)       160         492           269         17   475   0    0    0    0       96.77            0.00               0.00          
  3775.job3.output.26       k__Bacteria (UID203)          5449        103            57         2     7    17   31   24   22      96.49           224.40              8.95          
  3775.job3.output.3     p__Bacteroidetes (UID2605)       350         314           208         10   301   3    0    0    0       95.99            1.44              33.33          
  3775.job3.output.11       k__Bacteria (UID203)          5449        104            58         16    11   28   17   15   17      95.92           204.80             13.47          
  3775.job3.output.39    o__Clostridiales (UID1226)       155         278           158         10   265   3    0    0    0       95.55            1.58               0.00          
  3775.job3.output.31    o__Bacteroidales (UID2617)       213         406           265         18   378   10   0    0    0       94.47            2.77               0.00          
  3775.job3.output.25    o__Clostridiales (UID1212)       172         263           149         10   234   19   0    0    0       94.46            7.13              73.68          
  3775.job3.output.9    f__Lachnospiraceae (UID1256)       33         333           171         23   299   10   0    0    1       93.57            4.63               3.23          
  3775.job3.output.50       k__Bacteria (UID203)          5449        103            57         6     29   57   10   1    0       92.98           67.45              41.94          
  3775.job3.output.49    o__Clostridiales (UID1226)       155         278           158         21   246   10   1    0    0       92.81            4.33              15.38          
  3775.job3.output.34    o__Bacteroidales (UID2617)       213         406           265         61   331   14   0    0    0       90.60            4.25              14.29          
  3775.job3.output.21       k__Bacteria (UID203)          5449         98            58         9     24   30   33   2    0       89.31           91.39              10.64          
  3775.job3.output.43      k__Bacteria (UID2982)           88         229           147         18   210   1    0    0    0       88.89            0.34               0.00          
  3775.job3.output.40   f__Lachnospiraceae (UID1255)       90         354           174         47   303   4    0    0    0       88.87            1.72               0.00          
  3775.job3.output.47   f__Lachnospiraceae (UID1286)       57         420           207         48   365   7    0    0    0       86.63            2.25               0.00          
  3775.job3.output.16    o__Bacteroidales (UID2617)       213         406           265         49   351   6    0    0    0       85.75            1.09               0.00          
  3775.job3.output.27      k__Bacteria (UID2495)          2993        147            91         31   116   0    0    0    0       85.71            0.00               0.00          
  3775.job3.output.51    o__Clostridiales (UID1212)       172         263           149         52   208   3    0    0    0       83.68            0.78              66.67          
